Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.978889,8.022222,7.972222,7.994444,7.994444,4813200
2010-01-05,7.942222,7.995556,7.91,7.967778,7.967778,3807000
2010-01-06,7.983333,8.014444,7.93,7.933333,7.933333,3156300
2010-01-07,7.944444,7.944444,7.866667,7.886667,7.886667,3327300
2010-01-08,7.894444,7.91,7.842222,7.871111,7.871111,2155500
2010-01-11,7.912222,7.912222,7.783333,7.846667,7.846667,4601700
2010-01-12,7.841111,7.895556,7.841111,7.868889,7.868889,3437100
2010-01-13,7.861111,7.952222,7.861111,7.911111,7.911111,3774600
2010-01-14,7.883333,7.948889,7.762222,7.9,7.9,2411100
2010-01-15,7.916667,7.922222,7.847778,7.885556,7.885556,2200500
2010-01-19,7.857778,8.025556,7.857778,8.012222,8.012222,4024800
2010-01-20,7.986667,8.111111,7.981111,8.094444,8.094444,3285900
2010-01-21,8.107778,8.175556,8.055556,8.078889,8.078889,3337200
2010-01-22,8.048889,8.136667,7.944444,7.961111,7.961111,4785300
2010-01-25,8.018889,8.06,7.917778,7.965556,7.965556,3288600
2010-01-26,7.961111,8.075556,7.911111,7.92,7.92,3593700
2010-01-27,7.895556,7.995556,7.86,7.98,7.98,3576600
2010-01-28,8.005556,8.042222,7.886667,7.886667,7.886667,3815100
2010-01-29,7.916667,8.0,7.887778,7.948889,7.948889,5022900
2010-02-01,7.99,7.99,7.864444,7.886667,7.886667,6229800
2010-02-02,7.868889,7.874444,7.761111,7.806667,7.806667,11293200
2010-02-03,7.767778,7.858889,7.746667,7.811111,7.811111,3345300
2010-02-04,7.885556,7.903333,7.724444,7.725556,7.725556,3778200
2010-02-05,7.738889,7.776667,7.666667,7.756667,7.756667,4407300
2010-02-08,7.792222,7.82,7.708889,7.74,7.74,2940300
2010-02-09,7.767778,7.844444,7.734444,7.822222,7.822222,3878100
2010-02-10,7.786667,7.9,7.786667,7.888889,7.888889,2416500
2010-02-11,7.902222,7.996667,7.865556,7.961111,7.961111,3204900
2010-02-12,7.913333,8.064444,7.897778,8.06,8.06,4926600
2010-02-16,8.08,8.155556,8.043333,8.14,8.14,6503400
2010-02-17,8.111111,8.165556,8.012222,8.038889,8.038889,6722100
2010-02-18,8.0,8.031111,7.982222,8.0,8.0,7453800
2010-02-19,7.975556,8.007778,7.975556,8.003333,8.003333,6094800
2010-02-22,8.023333,8.102222,8.023333,8.076667,8.076667,6145200
2010-02-23,8.001111,8.088889,7.995556,8.074444,8.074444,4234500
2010-02-24,8.096667,8.234444,8.096667,8.233333,8.233333,5005800
2010-02-25,8.221111,8.281111,8.21,8.222222,8.222222,6125400
2010-02-26,8.277778,8.311111,8.218889,8.22,8.22,17273700
2010-03-01,8.275556,8.333333,8.24,8.333333,8.333333,4489200
2010-03-02,8.333333,8.35,8.314444,8.336667,8.336667,3536100
2010-03-03,8.353333,8.358889,8.27,8.286667,8.286667,3418200
2010-03-04,8.248889,8.31,8.242222,8.305556,8.305556,3615300
2010-03-05,8.313333,8.334444,8.251111,8.332222,8.332222,4761000
2010-03-08,8.377778,8.536667,8.341111,8.511111,8.511111,4983300
2010-03-09,8.472222,8.477778,8.363333,8.398889,8.398889,4230900
2010-03-10,8.42,8.425556,8.306667,8.332222,8.332222,3584700
2010-03-11,8.307778,8.372222,8.29,8.333333,8.333333,2961900
2010-03-12,8.361111,8.386667,8.316667,8.338889,8.338889,1279800
2010-03-15,8.297778,8.338889,8.226667,8.318889,8.318889,2055600
2010-03-16,8.332222,8.347778,8.226667,8.347778,8.347778,1961100
2010-03-17,8.391111,8.464444,8.333333,8.416667,8.416667,3734100
2010-03-18,8.446667,8.446667,8.356667,8.358889,8.358889,2679300
