Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.48,31.84,31.33,31.469999,22.393152,3472500
2010-01-05,31.549999,31.77,31.4,31.639999,22.514122,3458700
2010-01-06,31.6,31.889999,31.43,31.559999,22.457197,3745800
2010-01-07,31.549999,31.700001,31.049999,31.23,22.222378,7232100
2010-01-08,31.120001,31.190001,30.52,30.84,21.944868,6264700
2010-01-11,30.969999,31.32,30.6,30.860001,21.959095,5019600
2010-01-12,30.68,30.860001,30.32,30.530001,21.724276,4278400
2010-01-13,30.639999,30.83,30.379999,30.66,21.816786,3335100
2010-01-14,30.58,30.969999,30.5,30.74,21.873707,3234000
2010-01-15,30.77,30.969999,30.299999,30.540001,21.731394,3693700
2010-01-19,30.5,30.879999,30.43,30.540001,21.731394,4336000
2010-01-20,31.030001,31.190001,30.65,30.9,21.987564,7735400
2010-01-21,30.940001,30.98,30.41,30.440001,21.660233,8686100
2010-01-22,30.33,30.9,30.07,30.469999,21.681578,6270800
2010-01-25,30.709999,30.709999,29.700001,29.77,21.183485,6367700
2010-01-26,29.65,29.77,29.530001,29.629999,21.083864,5009300
2010-01-27,29.610001,29.889999,29.52,29.75,21.16925,5128500
2010-01-28,29.790001,30.190001,29.75,29.950001,21.311569,7374100
2010-01-29,30.120001,30.309999,29.65,29.969999,21.325794,6580200
2010-02-01,30.07,30.18,29.65,30.16,21.460993,5922200
2010-02-02,30.42,31.799999,30.370001,31.629999,22.507002,10066300
2010-02-03,31.549999,31.76,30.91,31.18,22.186792,5960500
2010-02-04,30.9,30.969999,30.030001,30.059999,21.389833,6939900
2010-02-05,30.299999,30.83,30.08,30.610001,21.781204,7456500
2010-02-08,30.610001,30.74,29.85,29.889999,21.268879,6611200
2010-02-09,30.16,30.280001,29.57,29.91,21.283108,8241300
2010-02-10,29.959999,30.110001,29.75,29.99,21.340029,4799300
2010-02-11,29.879999,30.370001,29.5,30.030001,21.36849,5744000
2010-02-12,29.68,29.93,29.459999,29.77,21.183485,5090900
2010-02-16,29.889999,30.0,29.25,29.48,21.083355,7384300
2010-02-17,29.620001,29.889999,29.559999,29.879999,21.369432,4611900
2010-02-18,29.719999,30.040001,29.690001,29.969999,21.433792,3679600
2010-02-19,29.860001,30.049999,29.58,29.950001,21.419497,3897500
2010-02-22,29.83,30.049999,29.65,29.809999,21.31937,3619800
2010-02-23,29.809999,29.83,29.459999,29.620001,21.183485,5819300
2010-02-24,29.620001,29.860001,29.43,29.57,21.147722,4607500
2010-02-25,29.200001,29.469999,29.08,29.469999,21.076199,4701500
2010-02-26,29.5,29.57,29.15,29.360001,20.997538,3487500
2010-03-01,29.49,29.75,29.440001,29.66,21.212101,2732700
2010-03-02,29.73,30.25,29.66,29.85,21.347977,4422200
2010-03-03,29.99,30.059999,29.66,29.780001,21.297913,3891600
2010-03-04,29.84,30.01,29.67,30.0,21.455252,3504000
2010-03-05,30.0,30.700001,29.959999,30.620001,21.898661,5047800
2010-03-08,30.67,30.799999,30.34,30.57,21.8629,2761700
2010-03-09,30.469999,30.68,30.389999,30.51,21.819988,4476400
2010-03-10,30.559999,30.629999,30.059999,30.24,21.626894,4428800
2010-03-11,30.07,30.17,29.33,29.440001,21.054747,8551000
2010-03-12,29.74,29.76,28.559999,28.66,20.496918,7700400
2010-03-15,28.780001,28.83,28.450001,28.610001,20.461157,4943900
2010-03-16,28.99,28.99,28.309999,28.59,20.446854,4822400
2010-03-17,28.6,29.1,28.540001,29.1,20.811594,5398200
2010-03-18,29.18,29.25,28.809999,29.24,20.911716,5884200
