Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.8125,6.8305,6.657,6.695,6.695,151998000
2010-01-05,6.6715,6.774,6.5905,6.7345,6.7345,177038000
2010-01-06,6.73,6.7365,6.5825,6.6125,6.6125,143576000
2010-01-07,6.6005,6.616,6.44,6.5,6.5,220604000
2010-01-08,6.528,6.684,6.4515,6.676,6.676,196610000
2010-01-11,6.631,6.64,6.4605,6.5155,6.5155,175588000
2010-01-12,6.4495,6.491,6.3275,6.3675,6.3675,181926000
2010-01-13,6.395,6.4855,6.2875,6.4555,6.4555,214464000
2010-01-14,6.457,6.519,6.32,6.3675,6.3675,195498000
2010-01-15,6.459,6.4825,6.353,6.357,6.357,307530000
2010-01-19,6.3155,6.4,6.2165,6.3805,6.3805,177852000
2010-01-20,6.3565,6.46,6.254,6.289,6.289,181494000
2010-01-21,6.363,6.4075,6.25,6.331,6.331,199412000
2010-01-22,6.28,6.3835,6.038,6.0715,6.0715,231378000
2010-01-25,6.105,6.114,5.906,6.0155,6.0155,240478000
2010-01-26,6.028,6.149,5.953,5.974,5.974,191180000
2010-01-27,6.0515,6.1665,5.94,6.1375,6.1375,295306000
2010-01-28,6.2215,6.36,6.14,6.3015,6.3015,545862000
2010-01-29,6.4885,6.5925,6.207,6.2705,6.2705,589426000
2010-02-01,6.159,6.243,5.691,5.9435,5.9435,755488000
2010-02-02,5.9395,5.949,5.72,5.906,5.906,461594000
2010-02-03,5.856,5.9805,5.828,5.955,5.955,248118000
2010-02-04,5.932,6.0165,5.787,5.797,5.797,255680000
2010-02-05,5.794,5.8825,5.705,5.8695,5.8695,220496000
2010-02-08,5.969,6.05,5.828,5.8415,5.8415,197804000
2010-02-09,5.91,5.9545,5.85,5.9015,5.9015,184460000
2010-02-10,5.9,5.9305,5.8,5.868,5.868,124664000
2010-02-11,5.8605,6.021,5.825,6.0045,6.0045,166870000
2010-02-12,5.9495,5.997,5.875,5.983,5.983,161470000
2010-02-16,6.003,6.025,5.859,5.8765,5.8765,178654000
2010-02-17,5.8535,5.8565,5.7775,5.8155,5.8155,178896000
2010-02-18,5.792,5.9255,5.741,5.904,5.904,196002000
2010-02-19,5.8955,5.9545,5.85,5.876,5.876,142312000
2010-02-22,5.8685,5.9485,5.809,5.9005,5.9005,136146000
2010-02-23,5.9005,5.9625,5.8255,5.862,5.862,141364000
2010-02-24,5.898,5.99,5.8575,5.986,5.986,147798000
