Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.59125,4.6175,4.54375,4.55125,4.55125,2344000
2010-01-05,4.55125,4.5675,4.5275,4.55,4.55,1316000
2010-01-06,4.5375,4.5575,4.5225,4.53125,4.53125,1235200
2010-01-07,4.5125,4.53,4.47125,4.505,4.505,1827200
2010-01-08,4.4875,4.51875,4.4625,4.51875,4.51875,2542400
2010-01-11,4.5175,4.5475,4.47,4.50125,4.50125,1214400
2010-01-12,4.47,4.48125,4.45125,4.46875,4.46875,1476800
2010-01-13,4.46625,4.47125,4.41875,4.43375,4.43375,3365600
2010-01-14,4.4125,4.47,4.38125,4.4675,4.4675,2482400
2010-01-15,4.47625,4.47625,4.37,4.39625,4.39625,1049600
2010-01-19,4.3875,4.4425,4.3625,4.4425,4.4425,1544000
2010-01-20,4.40625,4.425,4.3475,4.41125,4.41125,1456000
2010-01-21,4.40125,4.4975,4.3475,4.35125,4.35125,1805600
2010-01-22,4.36125,4.3725,4.2775,4.28625,4.28625,1396000
2010-01-25,4.3225,4.3525,4.3125,4.3375,4.3375,1812000
2010-01-26,4.32625,4.345,4.2975,4.32875,4.32875,1608800
2010-01-27,4.30875,4.3525,4.29625,4.3325,4.3325,1634400
2010-01-28,4.3275,4.3275,4.25,4.26875,4.26875,1733600
2010-01-29,4.27875,4.29,4.21625,4.22,4.22,2228000
2010-02-01,4.2275,4.2525,4.16625,4.2525,4.2525,3348800
2010-02-02,4.24625,4.31625,4.23125,4.3,4.3,2373600
2010-02-03,4.28,4.3325,4.2475,4.2725,4.2725,1820800
2010-02-04,4.255,4.2575,4.13125,4.14625,4.14625,3260800
2010-02-05,4.13125,4.15375,4.09625,4.15125,4.15125,3334400
2010-02-08,4.165,4.18,4.12875,4.1375,4.1375,1028000
2010-02-09,4.18,4.2375,4.13375,4.15125,4.15125,1325600
2010-02-10,4.1325,4.16125,4.11,4.1325,4.1325,1636000
2010-02-11,4.125,4.17625,4.11375,4.17375,4.17375,2272800
2010-02-12,4.15625,4.23,4.13625,4.2125,4.2125,2565600
2010-02-16,4.35375,4.4475,4.33625,4.4075,4.4075,6505600
2010-02-17,4.4275,4.49875,4.39375,4.43,4.43,3518400
2010-02-18,4.445,4.5,4.425,4.49125,4.49125,2216800
2010-02-19,4.47625,4.52875,4.47625,4.5125,4.5125,1658400
2010-02-22,4.5325,4.58125,4.5175,4.525,4.525,1216000
2010-02-23,4.50625,4.53875,4.43125,4.43875,4.43875,1748000
2010-02-24,4.44,4.495,4.44,4.47125,4.47125,966400
2010-02-25,4.4225,4.48125,4.415,4.475,4.475,1840800
2010-02-26,4.48875,4.48875,4.425,4.46,4.46,2356000
2010-03-01,4.4575,4.55,4.45375,4.53375,4.53375,4388800
2010-03-02,4.53,4.62625,4.505,4.62625,4.62625,6835200
2010-03-03,4.4925,4.58625,4.36625,4.37875,4.37875,9573600
2010-03-04,4.375,4.41375,4.30625,4.33,4.33,2611200
2010-03-05,4.34125,4.42875,4.3125,4.42375,4.42375,2632800
2010-03-08,4.4075,4.4625,4.405,4.43875,4.43875,2248800
2010-03-09,4.44,4.46625,4.365,4.36875,4.36875,2841600
