Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.5,32.75,31.870001,32.07,27.93392,13700400
2010-01-05,32.07,32.16,31.700001,31.99,27.864241,10307700
2010-01-06,31.9,32.0,31.68,31.82,27.716164,10709500
2010-01-07,31.77,31.860001,31.540001,31.83,27.724874,8202100
2010-01-08,31.66,31.940001,31.530001,31.879999,27.768425,7657500
2010-01-11,31.530001,31.74,31.09,31.360001,27.315489,11250500
2010-01-12,31.02,31.120001,30.68,30.82,26.845133,14618300
2010-01-13,30.889999,31.370001,30.870001,31.290001,27.254524,9620600
2010-01-14,31.129999,31.18,30.959999,31.02,27.019339,9235600
2010-01-15,31.01,31.15,30.41,30.6,26.653509,13936400
2010-01-19,30.59,31.190001,30.5,31.01,27.010632,9662100
2010-01-20,31.0,31.24,30.719999,31.190001,27.167416,13302800
2010-01-21,31.139999,31.42,30.57,30.610001,26.662218,15403600
2010-01-22,30.5,30.709999,29.950001,29.98,26.11347,14459400
2010-01-25,30.219999,30.23,29.549999,29.92,26.061209,11155800
2010-01-26,29.799999,29.940001,29.32,29.66,25.834738,11197300
2010-01-27,29.559999,29.809999,29.01,29.32,25.538588,16121200
2010-01-28,29.43,29.48,28.709999,29.35,25.564724,17126000
2010-01-29,29.370001,29.82,29.25,29.549999,25.738926,14507900
2010-02-01,29.6,29.77,29.34,29.52,25.712797,10894200
2010-02-02,29.530001,30.01,29.219999,29.98,26.11347,10100900
2010-02-03,29.92,30.870001,29.790001,30.75,26.784166,15976200
2010-02-04,30.280001,30.49,29.66,29.67,25.843451,13407100
2010-02-05,29.629999,29.84,28.99,29.540001,25.730217,11956100
2010-02-08,29.76,29.950001,29.459999,29.48,25.677956,10656800
2010-02-09,29.889999,30.040001,29.48,29.84,25.991524,14376800
2010-02-10,29.16,30.09,29.030001,30.030001,26.157019,24191900
2010-02-11,29.82,30.43,29.76,30.16,26.27025,12389400
2010-02-12,29.860001,30.200001,29.860001,30.07,26.191862,12802700
2010-02-16,30.280001,30.5,30.17,30.469999,26.540276,9061600
2010-02-17,30.540001,30.93,30.379999,30.860001,26.879974,9768600
2010-02-18,30.860001,31.07,30.68,31.02,27.019339,8212300
2010-02-19,30.940001,31.52,30.85,31.23,27.202255,12595600
2010-02-22,31.35,31.469999,31.059999,31.120001,27.106441,7868200
2010-02-23,31.030001,31.27,30.860001,30.92,26.932234,10228300
2010-02-24,31.049999,31.5,31.01,31.389999,27.341621,12062100
2010-02-25,30.879999,31.41,30.85,31.360001,27.315489,10553800
2010-02-26,31.389999,31.41,30.98,31.24,27.21097,13449800
2010-03-01,31.4,31.6,31.34,31.540001,27.472279,8681000
2010-03-02,31.41,31.92,31.389999,31.879999,27.768425,14070600
2010-03-03,31.950001,31.959999,31.549999,31.639999,27.559376,10345500
2010-03-04,32.02,32.860001,31.92,32.57,28.369438,23075400
2010-03-05,32.790001,33.220001,32.75,33.220001,28.935606,19204800
2010-03-08,32.959999,33.5,32.950001,33.189999,28.909475,13176600
2010-03-09,33.0,33.34,32.779999,33.310001,29.014,11072700
2010-03-10,33.18,33.599998,33.099998,33.330002,29.031422,9652900
2010-03-11,33.32,33.810001,33.119999,33.810001,29.449512,11392500
2010-03-12,33.810001,33.810001,33.470001,33.689999,29.344986,9610400
2010-03-15,33.52,33.75,33.360001,33.720001,29.37112,8235900
2010-03-16,33.740002,33.830002,33.490002,33.75,29.397249,8472600
2010-03-17,33.790001,33.84,33.529999,33.75,29.397249,7858400
2010-03-18,33.689999,33.849998,33.52,33.779999,29.42338,8044200
2010-03-19,33.639999,33.98,33.48,33.639999,29.301435,16729000
2010-03-22,33.470001,34.189999,33.419998,33.950001,29.571451,11717600
2010-03-23,34.0,34.099998,33.73,34.009998,29.623716,7038000
2010-03-24,33.91,34.43,33.869999,34.389999,29.95471,12195200
2010-03-25,34.490002,35.5,34.419998,35.09,30.56443,32705900
2010-03-26,34.889999,35.599998,34.849998,35.310001,30.756058,22909800
2010-03-29,35.279999,35.419998,34.970001,35.16,30.625404,12560500
2010-03-30,35.130001,35.200001,34.759998,35.099998,30.573132,17201800
2010-03-31,35.07,35.200001,34.810001,34.91,30.407642,10789500
2010-04-01,35.07,35.59,35.009998,35.549999,30.965107,14603000
2010-04-05,35.279999,35.540001,35.07,35.220001,30.677668,10607900
2010-04-06,35.240002,35.610001,35.099998,35.470001,30.895418,12637700
2010-04-07,35.389999,35.490002,35.060001,35.32,30.764772,9242200
2010-04-08,35.279999,35.75,35.139999,35.669998,31.069628,9915900
2010-04-09,35.82,36.880001,35.639999,36.220001,31.548697,21346000
2010-04-12,36.139999,36.330002,35.799999,35.889999,31.261255,10410800
