Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,51.630001,51.869999,50.73,50.91,28.275213,4152133
2010-01-05,51.029999,51.029999,49.889999,50.07,27.808681,3872367
2010-01-06,49.98,50.580002,49.919998,50.25,27.908651,3486567
2010-01-07,50.310001,50.580002,50.099998,50.490002,28.041941,2376033
2010-01-08,50.220001,50.52,50.040001,50.52,28.058601,1654100
2010-01-11,50.549999,51.150002,50.490002,51.029999,28.341856,2195633
2010-01-12,50.939999,51.330002,50.669998,51.09,28.375185,2650933
2010-01-13,51.27,51.57,50.73,51.209999,28.441828,3035233
2010-01-14,51.330002,51.419998,50.849998,51.209999,28.441828,1919767
2010-01-15,50.639999,51.18,50.040001,50.700001,28.158571,4349933
2010-01-19,50.970001,51.299999,50.52,51.27,28.475153,1858233
2010-01-20,51.029999,51.029999,50.220001,50.790001,28.208557,2628600
2010-01-21,50.82,50.970001,49.919998,50.040001,27.792023,3958200
2010-01-22,50.040001,50.369999,49.560001,49.650002,27.575407,3927200
2010-01-25,50.099998,50.16,49.439999,49.98,27.758692,2257600
2010-01-26,50.009998,50.580002,49.68,50.43,28.008625,2827167
2010-01-27,50.34,50.400002,49.740002,50.220001,27.891991,2935833
2010-01-28,50.310001,50.34,49.650002,49.860001,27.692034,2354533
2010-01-29,50.220001,50.25,49.560001,49.59,27.54208,3044200
2010-02-01,49.68,49.950001,49.23,49.950001,27.742029,1872000
2010-02-02,49.77,50.34,49.290001,50.279999,27.925316,2775333
2010-02-03,50.310001,50.310001,49.740002,49.919998,27.725367,1572467
2010-02-04,49.830002,50.009998,49.110001,49.110001,27.275499,2519867
2010-02-05,49.200001,49.349998,48.389999,48.959999,27.192192,2997767
2010-02-08,49.049999,49.650002,48.75,48.959999,27.192192,3194633
2010-02-09,49.259998,50.580002,49.049999,49.68,27.592073,5056200
2010-02-10,49.080002,49.41,48.450001,48.66,27.423,3547300
2010-02-11,48.48,48.869999,48.060001,48.630001,27.406096,3105300
2010-02-12,48.48,48.810001,48.119999,48.450001,27.304661,3110933
2010-02-16,48.810001,49.290001,48.630001,48.75,27.473724,3638967
2010-02-17,48.990002,49.049999,48.299999,48.540001,27.355377,2367333
2010-02-18,48.450001,48.990002,48.360001,48.990002,27.608973,2296733
2010-02-19,48.900002,49.889999,48.630001,49.830002,28.082375,2960900
2010-02-22,49.950001,49.950001,49.200001,49.290001,27.77804,2671900
2010-02-23,49.290001,49.470001,48.990002,49.049999,27.642792,2054267
2010-02-24,49.049999,49.470001,48.720001,49.349998,27.811863,2645867
2010-02-25,49.02,49.169998,48.599998,49.139999,27.693504,2568067
2010-02-26,49.049999,49.41,48.900002,49.049999,27.642792,2503333
2010-03-01,49.23,49.560001,49.02,49.470001,27.879473,1792633
2010-03-02,49.830002,49.830002,49.200001,49.32,27.794954,2048367
2010-03-03,49.32,49.68,49.080002,49.200001,27.727324,2228000
2010-03-04,49.139999,49.380001,48.689999,48.990002,27.608973,2274500
2010-03-05,49.02,49.380001,48.900002,49.380001,27.828758,2139467
2010-03-08,49.470001,49.619999,49.259998,49.59,27.947107,1036567
2010-03-09,49.470001,49.560001,49.290001,49.41,27.845673,1229633
2010-03-10,49.380001,49.59,49.200001,49.41,27.845673,1694667
2010-03-11,49.41,49.5,49.169998,49.439999,27.862587,1922700
2010-03-12,49.5,49.560001,48.959999,48.990002,27.608973,1662567
2010-03-15,49.049999,49.41,48.900002,49.380001,27.828758,1733367
2010-03-16,49.59,49.919998,49.290001,49.830002,28.082375,2024833
2010-03-17,50.130001,50.130001,49.740002,49.860001,28.099274,2271800
2010-03-18,49.650002,50.130001,49.650002,49.740002,28.031656,2631400
2010-03-19,49.740002,50.279999,49.380001,49.740002,28.031656,3889233
2010-03-22,49.59,49.650002,49.080002,49.32,27.794954,2342400
2010-03-23,49.290001,49.41,49.080002,49.380001,27.828758,1852967
2010-03-24,49.349998,49.380001,48.900002,48.959999,27.592077,2082067
2010-03-25,49.02,49.23,48.810001,48.900002,27.558256,1783367
2010-03-26,49.080002,49.290001,48.84,49.259998,27.761139,1550000
2010-03-29,49.349998,49.77,49.259998,49.77,28.048555,1765700
2010-03-30,49.740002,49.98,49.110001,49.200001,27.727324,2962267
2010-03-31,49.169998,49.290001,48.93,48.959999,27.592077,1997867
2010-04-01,49.139999,49.380001,49.049999,49.23,27.744236,1924633
2010-04-05,49.290001,49.470001,49.049999,49.259998,27.761139,2324933
2010-04-06,49.049999,49.650002,48.900002,49.650002,27.98093,1696767
2010-04-07,49.59,49.650002,49.049999,49.110001,27.676605,2314800
2010-04-08,49.080002,49.200001,48.630001,48.720001,27.456821,3480600
2010-04-09,48.810001,48.990002,48.389999,48.990002,27.608973,3091767
2010-04-12,48.959999,49.110001,48.779999,48.779999,27.490625,2550867
2010-04-13,48.810001,48.869999,48.57,48.66,27.423,2910300
2010-04-14,48.689999,48.720001,48.509998,48.630001,27.406096,2400633
2010-04-15,48.66,48.66,48.209999,48.389999,27.270845,2852667
2010-04-16,48.389999,48.540001,48.0,48.029999,27.067961,4242533
2010-04-19,47.82,48.389999,47.82,48.209999,27.169392,3698333
2010-04-20,48.360001,49.110001,48.330002,49.049999,27.642792,3403900
2010-04-21,48.959999,49.110001,48.75,48.900002,27.558256,2747267
2010-04-22,48.720001,48.93,48.299999,48.630001,27.406096,3238667
2010-04-23,48.66,48.75,48.09,48.75,27.473724,3392100
2010-04-26,48.720001,48.900002,48.450001,48.720001,27.456821,3092967
2010-04-27,48.630001,48.84,48.029999,48.029999,27.067961,3244800
2010-04-28,48.57,50.700001,48.450001,49.919998,28.133089,12364000
2010-04-29,49.77,50.16,49.5,49.59,27.947107,4038667
2010-04-30,49.68,50.459999,49.59,50.34,28.369797,3246700
2010-05-03,50.549999,50.91,50.25,50.790001,28.623396,3172933
2010-05-04,50.639999,51.0,49.919998,50.130001,28.251436,4143267
2010-05-05,50.07,50.970001,50.07,50.279999,28.335981,3433567
2010-05-06,50.459999,50.790001,47.700001,49.439999,27.862587,5769667
2010-05-07,49.709999,49.950001,48.330002,49.650002,27.98093,7028700
2010-05-10,50.549999,50.849998,50.040001,50.700001,28.57267,3984067
2010-05-11,50.52,51.360001,50.220001,50.759998,28.606487,3948067
2010-05-12,50.73,51.150002,50.43,50.939999,28.707922,3592167
2010-05-13,50.939999,51.18,50.43,50.580002,28.505051,2804033
2010-05-14,50.580002,50.759998,50.16,50.34,28.369797,3221467
2010-05-17,50.400002,50.849998,49.830002,50.790001,28.623396,3029300
2010-05-18,50.970001,51.419998,50.759998,50.82,28.640295,5602600
2010-05-19,49.98,50.130001,49.23,49.470001,28.280149,3728267
2010-05-20,48.93,49.259998,47.91,47.91,27.388353,5020033
2010-05-21,47.25,48.029999,47.25,48.0,27.439804,4476133
2010-05-24,47.91,48.720001,47.73,47.91,27.388353,3493067
2010-05-25,47.34,47.549999,46.41,47.459999,27.131111,3535167
2010-05-26,47.82,47.849998,46.98,47.130001,26.942461,3189067
2010-05-27,47.73,47.970001,47.34,47.939999,27.405499,2482400
2010-05-28,48.09,48.389999,47.73,47.880001,27.371202,2979867
2010-06-01,47.549999,47.91,47.040001,47.099998,26.92531,2272700
2010-06-02,47.369999,47.880001,47.130001,47.880001,27.371202,2713067
2010-06-03,48.09,48.330002,47.790001,48.150002,27.525557,1437967
2010-06-04,47.610001,47.639999,46.740002,46.830002,26.770964,3327367
2010-06-07,46.98,47.52,46.740002,47.009998,26.873854,2673067
2010-06-08,46.98,48.299999,46.709999,48.299999,27.611307,4842033
2010-06-09,48.389999,48.419998,47.610001,47.790001,27.319763,2761967
2010-06-10,48.360001,48.720001,48.150002,48.720001,27.851402,2787433
2010-06-11,48.509998,48.720001,47.939999,48.509998,27.731356,2051000
2010-06-14,48.779999,48.93,48.48,48.630001,27.799957,2594300
2010-06-15,48.810001,49.23,48.66,49.23,28.142958,2265833
2010-06-16,49.41,49.68,49.02,49.560001,28.331598,2245867
2010-06-17,49.650002,50.16,49.349998,50.130001,28.657457,1991767
2010-06-18,50.07,50.220001,49.560001,49.919998,28.537403,2459567
2010-06-21,50.16,50.25,49.529999,49.77,28.451643,2113367
2010-06-22,49.709999,49.799999,48.84,48.959999,27.988613,2247667
2010-06-23,49.02,49.200001,48.450001,48.66,27.817102,1867633
2010-06-24,48.389999,49.169998,48.330002,48.450001,27.697063,4282467
2010-06-25,48.540001,48.779999,48.150002,48.509998,27.731356,2114233
2010-06-28,48.720001,49.23,48.360001,49.02,28.022896,1553600
2010-06-29,48.689999,48.84,48.150002,48.450001,27.697063,3014633
2010-06-30,48.419998,48.869999,47.849998,48.0,27.439804,2723933
2010-07-01,48.209999,48.209999,47.610001,47.91,27.388353,3729100
2010-07-02,47.91,48.48,47.880001,48.18,27.542704,2289000
2010-07-06,48.389999,48.900002,48.27,48.66,27.817102,5747333
2010-07-07,48.720001,50.279999,48.630001,50.25,28.726051,2706433
2010-07-08,50.279999,50.549999,49.740002,50.16,28.674599,2497600
2010-07-09,50.099998,50.43,49.919998,50.369999,28.794641,1202967
2010-07-12,50.189999,50.700001,50.099998,50.669998,28.966154,1504667
2010-07-13,50.790001,50.939999,50.310001,50.52,28.880398,2340700
2010-07-14,50.400002,50.91,50.25,50.880001,29.086187,2288500
2010-07-15,50.880001,51.330002,50.580002,51.240002,29.291996,1956367
2010-07-16,51.240002,51.330002,50.459999,50.610001,28.931852,2208600
2010-07-19,50.91,51.689999,50.700001,51.509998,29.44635,1944567
2010-07-20,51.119999,51.57,50.790001,51.419998,29.394901,2148333
2010-07-21,51.48,51.540001,50.369999,50.700001,28.983288,2786167
2010-07-22,51.09,51.540001,50.91,51.299999,29.326302,3248500
2010-07-23,51.57,51.57,50.549999,50.82,29.051891,6587233
2010-07-26,50.669998,51.299999,50.669998,51.299999,29.326302,3342967
2010-07-27,51.419998,52.080002,51.150002,52.080002,29.772194,3497500
2010-07-28,52.02,52.110001,51.599998,51.93,29.686434,2228667
2010-07-29,52.139999,52.290001,51.48,51.509998,29.44635,2580967
2010-07-30,51.299999,51.689999,51.0,51.299999,29.326302,2595633
2010-08-02,51.720001,52.439999,51.720001,52.110001,29.789343,2849500
2010-08-03,52.5,52.5,51.990002,52.110001,29.789343,2734433
2010-08-04,52.41,52.41,51.75,52.110001,29.789343,2133233
2010-08-05,51.959999,52.259998,51.75,52.23,29.857929,1964500
2010-08-06,52.139999,52.349998,51.75,52.259998,29.875095,2189933
2010-08-09,52.619999,52.830002,52.32,52.68,30.115183,1974367
2010-08-10,52.470001,53.400002,52.259998,53.07,30.338131,3414967
2010-08-11,51.93,51.990002,51.330002,51.330002,29.755554,2830267
2010-08-12,50.970001,51.599998,50.880001,51.299999,29.738161,2584300
2010-08-13,51.240002,51.599998,51.0,51.029999,29.581636,3557400
2010-08-16,50.91,51.119999,50.279999,51.09,29.616421,2214633
2010-08-17,51.330002,52.110001,51.240002,51.720001,29.981636,2621733
2010-08-18,51.630001,51.990002,51.330002,51.779999,30.016411,8534100
2010-08-19,51.630001,51.630001,50.580002,51.119999,29.633812,2469800
2010-08-20,50.880001,51.330002,50.73,51.18,29.668604,2227100
2010-08-23,51.450001,51.720001,51.18,51.18,29.668604,4688800
2010-08-24,50.939999,51.869999,50.759998,51.630001,29.929449,4311267
2010-08-25,51.48,51.720001,50.849998,51.48,29.842508,3087400
2010-08-26,51.689999,51.689999,51.09,51.240002,29.703377,2087967
2010-08-27,51.450001,52.080002,51.09,52.080002,30.190315,1993567
2010-08-30,52.049999,52.139999,51.450001,51.450001,29.825106,1723933
2010-08-31,51.299999,51.869999,51.029999,51.540001,29.877283,3728400
2010-09-01,51.990002,52.5,51.84,52.32,30.329449,3945700
2010-09-02,52.380001,52.380001,51.66,51.84,30.051193,2456633
2010-09-03,51.959999,52.23,51.599998,52.049999,30.172909,2587300
2010-09-07,52.049999,52.470001,51.900002,52.02,30.155533,2163200
2010-09-08,52.02,52.470001,51.990002,52.169998,30.242485,1902400
2010-09-09,52.41,52.740002,52.200001,52.619999,30.503349,2193467
2010-09-10,52.560001,52.68,52.259998,52.59,30.48597,2007933
2010-09-13,52.740002,53.16,52.68,52.98,30.71204,2102500
2010-09-14,52.98,53.25,52.68,52.98,30.71204,1950700
2010-09-15,52.950001,53.130001,52.619999,52.740002,30.57291,2170467
2010-09-16,53.16,53.16,52.529999,52.709999,30.555525,1754100
2010-09-17,52.709999,53.009998,52.41,52.529999,30.451176,3015233
2010-09-20,52.68,53.400002,52.560001,53.34,30.920729,2008933
2010-09-21,53.369999,53.790001,53.07,53.369999,30.938116,2269567
2010-09-22,53.43,54.240002,53.43,53.939999,31.268543,2745533
2010-09-23,53.759998,54.150002,53.130001,53.279999,30.885944,2063933
2010-09-24,53.610001,54.119999,53.580002,53.970001,31.285925,1541467
2010-09-27,53.82,53.970001,53.400002,53.700001,31.129423,2023667
2010-09-28,53.91,54.0,53.459999,53.82,31.198973,2367433
2010-09-29,53.610001,53.849998,53.34,53.580002,31.059866,1618800
2010-09-30,53.82,53.91,53.07,53.130001,30.79899,2387167
2010-10-01,53.549999,53.759998,53.189999,53.490002,31.007687,2352800
2010-10-04,53.400002,53.669998,53.040001,53.25,30.868565,2133833
2010-10-05,53.669998,53.700001,53.130001,53.220001,30.851166,4221633
2010-10-06,53.16,53.580002,53.009998,53.099998,30.781595,2942533
2010-10-07,53.279999,53.369999,52.740002,52.889999,30.659874,3120433
2010-10-08,52.860001,53.07,52.709999,52.919998,30.677258,2787733
2010-10-11,52.950001,53.130001,52.709999,52.860001,30.642469,1141067
2010-10-12,52.68,52.919998,52.59,52.740002,30.57291,2072233
2010-10-13,52.860001,52.950001,52.619999,52.68,30.538124,2138067
2010-10-14,52.709999,52.799999,52.529999,52.740002,30.57291,2095433
2010-10-15,52.950001,53.130001,52.529999,52.77,30.590302,2541767
2010-10-18,52.889999,53.07,52.740002,52.950001,30.694647,4868800
2010-10-19,52.709999,53.189999,52.709999,53.009998,30.729435,3409533
2010-10-20,53.189999,53.73,53.099998,53.369999,30.938116,3775467
2010-10-21,53.52,53.880001,53.25,53.459999,30.990284,2575700
2010-10-22,53.459999,53.52,52.889999,53.34,30.920729,1965267
2010-10-25,53.400002,53.639999,53.25,53.310001,30.903341,1891133
2010-10-26,53.25,53.610001,52.950001,53.580002,31.059866,2061967
2010-10-27,53.279999,53.610001,52.889999,53.610001,31.077248,2210700
2010-10-28,54.0,54.27,53.610001,54.209999,31.425066,3206100
2010-10-29,54.150002,54.959999,54.029999,54.630001,31.668528,3273133
2010-11-01,54.869999,55.02,53.790001,54.150002,31.390285,2746500
2010-11-02,54.419998,54.93,54.419998,54.810001,31.772856,2134333
2010-11-03,54.990002,55.110001,54.450001,54.869999,31.807657,2021133
2010-11-04,55.23,55.59,55.049999,55.59,32.225029,2639667
2010-11-05,55.5,55.799999,55.139999,55.470001,32.155472,2135333
2010-11-08,55.439999,55.470001,54.959999,55.290001,32.051121,2178667
2010-11-09,54.630001,54.779999,53.91,54.150002,31.813194,2319767
2010-11-10,54.119999,54.299999,53.490002,53.639999,31.513559,2653600
