Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.785381,28.815191,28.561815,28.68602,17.669443,1706274
2010-01-05,28.745638,28.79035,28.457485,28.676083,17.663321,1400123
2010-01-06,28.695955,28.79035,28.55188,28.780415,17.727591,1748543
2010-01-07,28.616465,28.755573,28.377995,28.492262,17.550091,1516061
2010-01-08,28.41774,28.422709,28.144491,28.41774,17.504189,1412602
2010-01-11,28.462454,28.576719,28.109716,28.243855,17.397087,1298676
2010-01-12,28.139524,28.139524,27.786787,27.935831,17.207355,1804701
2010-01-13,27.950735,28.308441,27.915958,28.228951,17.387909,1204073
2010-01-14,28.25876,28.377995,28.069969,28.323345,17.446053,1453664
2010-01-15,28.273664,28.338249,27.692392,27.801691,17.124731,1624754
2010-01-19,27.742073,28.323345,27.677488,28.323345,17.446053,1848581
2010-01-20,28.099779,28.099779,27.801691,28.065002,17.286924,1619521
2010-01-21,28.055065,28.144491,27.240292,27.319782,16.827896,2615468
2010-01-22,27.275068,27.275068,26.420549,26.445391,16.289305,2542603
2010-01-25,26.549721,26.668957,26.182079,26.430485,16.280123,2322400
2010-01-26,26.400677,26.400677,26.182079,26.20195,16.139359,2044026
2010-01-27,26.192015,26.276472,25.804501,26.047939,16.044491,3069561
2010-01-28,26.182079,26.216856,25.59087,25.903864,15.955746,2239874
2010-01-29,26.062843,26.062843,25.441826,25.48654,15.698692,2218941
2010-02-01,25.635584,26.137365,25.337496,26.087685,16.06897,2927053
2010-02-02,26.057875,26.380804,25.928703,26.360931,16.237282,1852405
2010-02-03,26.271505,26.405645,26.077747,26.266537,16.179134,1116515
2010-02-04,26.062843,26.162207,25.476603,25.481571,15.695634,2053285
2010-02-05,25.496475,25.585901,25.103992,25.516348,15.71705,2241686
2010-02-08,25.85915,26.261568,25.570997,25.675329,15.814978,2480004
2010-02-09,25.908831,26.196983,25.695202,26.082716,16.065912,2483627
2010-02-10,26.659019,26.659019,25.734945,25.898895,15.95268,3337871
2010-02-11,25.824373,26.062843,25.536221,25.948576,15.983288,2335685
2010-02-12,25.705137,25.819405,25.094057,25.471636,15.689509,3184896
2010-02-16,25.625647,25.928703,25.466667,25.928703,15.971048,1894473
2010-02-17,25.978386,25.99329,25.759787,25.85915,15.928199,1712916
2010-02-18,25.85915,26.033035,25.779659,25.983353,16.004707,1334907
2010-02-19,25.898895,26.182079,25.72501,26.057875,16.050617,1823420
2010-02-22,25.874054,26.127428,25.844246,25.983353,16.004707,1686548
2010-02-23,25.953545,26.062843,25.675329,25.923737,15.967985,1910374
2010-02-24,25.953545,25.998259,25.700169,25.784628,15.882303,2263223
2010-02-25,25.446795,25.585901,25.198387,25.536221,15.72929,1654343
2010-02-26,25.506413,25.764755,25.38221,25.729979,15.848637,1892058
2010-03-01,25.72501,26.167173,25.680298,26.057875,16.050617,2141044
2010-03-02,26.132397,26.326155,26.042971,26.112526,16.08427,1767061
2010-03-03,26.216856,26.216856,25.943607,25.988321,16.007771,2074218
2010-03-04,25.968449,26.033035,25.729979,25.829342,15.909846,2237861
2010-03-05,25.938641,26.326155,25.908831,26.311251,16.206675,1305117
2010-03-08,26.276472,26.495071,26.276472,26.405645,16.264826,1501167
2010-03-09,26.331123,26.559656,26.216856,26.475199,16.307669,1256004
2010-03-10,26.514944,26.634178,26.350994,26.609339,16.390295,1709494
2010-03-11,26.480167,26.629211,26.370869,26.629211,16.402525,1566382
2010-03-12,26.629211,26.639147,26.395708,26.554689,16.356628,1134631
2010-03-15,26.505007,26.663988,26.405645,26.619274,16.39641,989908
2010-03-16,26.688829,26.698765,26.495071,26.659019,16.420897,1229636
2010-03-17,26.668957,27.056471,26.634178,27.016726,16.641228,2132590
2010-03-18,27.036598,27.150866,26.927299,27.046534,16.659586,1871124
2010-03-19,27.106152,27.289972,26.981949,27.106152,16.696312,3289563
2010-03-22,26.912395,27.409208,26.827936,27.339655,16.840132,2498120
2010-03-23,27.43405,27.563221,27.260164,27.53838,16.962543,1816375
2010-03-24,27.463858,27.463858,27.225388,27.265133,16.794235,2030138
2010-03-25,27.334686,27.389336,27.200546,27.230354,16.772816,2921417
2010-03-26,27.265133,27.319782,27.08131,27.116089,16.702431,2112060
2010-03-29,27.190611,27.359528,27.140928,27.309847,16.821775,1152545
2010-03-30,27.324751,27.364494,27.185642,27.319782,16.827896,1107055
2010-03-31,27.170738,27.309847,27.036598,27.071375,16.674885,2287981
2010-04-01,26.932266,27.374432,26.634178,26.952141,16.601437,9261219
2010-04-05,26.475199,27.180674,26.281441,26.847809,16.537174,3816924
2010-04-06,26.668957,26.87265,26.624243,26.773287,16.491272,3347332
2010-04-07,26.728575,26.857744,26.649082,26.713669,16.45455,2968115
2010-04-08,26.599401,26.723604,26.405645,26.659019,16.420897,2442365
2010-04-09,26.743479,27.096216,26.634178,27.08131,16.681009,2092133
