Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,84.209999,85.0,83.110001,83.449997,73.678177,3215100
2010-01-05,83.440002,84.589996,82.639999,84.540001,74.640556,2493300
2010-01-06,84.330002,85.120003,83.610001,83.839996,74.022514,2491000
2010-01-07,83.849998,83.849998,82.400002,82.93,73.219078,3093200
2010-01-08,84.080002,85.260002,82.949997,84.989998,75.037849,4351200
2010-01-11,85.589996,88.290001,85.400002,87.25,77.033241,6131900
2010-01-12,86.440002,88.68,85.599998,86.580002,76.441673,3345100
2010-01-13,86.949997,87.330002,85.150002,85.82,75.770676,2855700
2010-01-14,85.580002,86.449997,85.089996,86.290001,76.185654,2104300
2010-01-15,86.339996,86.800003,84.93,85.110001,75.143829,4369700
2010-01-19,84.970001,86.260002,84.970001,85.900002,75.841309,2289200
2010-01-20,84.75,84.800003,83.080002,84.059998,74.216782,2793100
2010-01-21,84.349998,84.480003,81.300003,81.599998,72.044807,2865500
2010-01-22,81.32,81.860001,80.190002,80.290001,70.88826,2551800
2010-01-25,81.220001,81.220001,79.150002,80.690002,71.241379,1878500
2010-01-26,80.459999,81.230003,79.510002,80.760002,71.303192,2272300
2010-01-27,80.75,80.769997,78.610001,80.419998,71.002991,3523900
2010-01-28,80.980003,80.980003,78.389999,79.07,69.811096,1974200
2010-01-29,79.68,80.699997,78.300003,78.349998,69.175423,3139500
2010-02-01,78.809998,80.730003,78.760002,80.669998,71.223717,3056600
2010-02-02,81.07,82.550003,80.360001,82.330002,72.689354,3217400
2010-02-03,81.660004,82.849998,80.910004,82.120003,72.503914,2593700
2010-02-04,81.360001,81.739998,78.75,78.849998,69.616821,3830100
2010-02-05,78.849998,79.25,75.169998,76.690002,67.70977,5535300
2010-02-08,76.82,77.769997,75.309998,76.690002,67.70977,2966800
2010-02-09,77.269997,79.720001,76.959999,79.220001,69.943504,4694400
2010-02-10,79.160004,79.290001,77.519997,78.290001,69.122421,2196800
2010-02-11,78.379997,79.779999,77.440002,79.529999,70.217209,2272800
2010-02-12,78.400002,78.68,77.510002,78.550003,69.35199,2902000
2010-02-16,78.919998,80.199997,78.919998,79.970001,70.605682,2649200
2010-02-17,79.900002,80.489998,78.93,79.940002,70.579185,2484400
