Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.788,1.82,1.763,1.8,1.8,3580000
2010-01-05,1.803,1.86,1.8,1.839,1.839,4114000
2010-01-06,1.888,1.985,1.88,1.941,1.941,9367000
2010-01-07,1.953,1.961,1.9,1.945,1.945,1376000
2010-01-08,1.955,2.059,1.922,2.011,2.011,4571000
2010-01-11,2.025,2.025,1.969,2.005,2.005,1879000
2010-01-12,1.989,2.024,1.969,1.979,1.979,4737000
2010-01-13,1.976,1.988,1.841,1.944,1.944,3909000
2010-01-14,1.946,2.007,1.925,1.99,1.99,3534000
2010-01-15,1.996,1.996,1.915,1.963,1.963,3255000
2010-01-19,1.965,2.048,1.962,1.98,1.98,3086000
2010-01-20,1.972,2.0,1.888,1.906,1.906,2316000
2010-01-21,1.915,1.915,1.825,1.839,1.839,3555000
2010-01-22,1.84,1.884,1.783,1.788,1.788,4645000
2010-01-25,1.813,1.813,1.77,1.801,1.801,2456000
2010-01-26,1.8,1.87,1.8,1.831,1.831,3386000
2010-01-27,1.839,1.881,1.79,1.865,1.865,3941000
2010-01-28,1.9,1.903,1.726,1.78,1.78,13545000
2010-01-29,1.788,1.843,1.612,1.723,1.723,8798000
2010-02-01,1.729,1.775,1.7,1.745,1.745,1807000
2010-02-02,1.75,1.773,1.701,1.713,1.713,6500000
2010-02-03,1.715,1.722,1.635,1.644,1.644,4568000
2010-02-04,1.638,1.655,1.552,1.57,1.57,6020000
2010-02-05,1.57,1.589,1.518,1.569,1.569,5304000
2010-02-08,1.575,1.608,1.536,1.59,1.59,1886000
2010-02-09,1.672,1.714,1.627,1.659,1.659,4390000
2010-02-10,1.655,1.7,1.637,1.686,1.686,2776000
2010-02-11,1.686,1.687,1.63,1.667,1.667,3223000
2010-02-12,1.645,1.697,1.642,1.652,1.652,2054000
2010-02-16,1.666,1.678,1.638,1.651,1.651,809000
2010-02-17,1.655,1.692,1.647,1.692,1.692,1847000
2010-02-18,1.695,1.736,1.686,1.733,1.733,1409000
2010-02-19,1.733,1.748,1.725,1.733,1.733,1663000
2010-02-22,1.733,1.736,1.69,1.697,1.697,1734000
2010-02-23,1.691,1.7,1.652,1.668,1.668,1278000
2010-02-24,1.683,1.707,1.651,1.657,1.657,2555000
2010-02-25,1.644,1.684,1.603,1.676,1.676,1933000
2010-02-26,1.681,1.73,1.65,1.718,1.718,2109000
2010-03-01,1.732,1.812,1.703,1.799,1.799,3470000
2010-03-02,1.8,1.825,1.727,1.746,1.746,2792000
2010-03-03,1.75,1.751,1.703,1.709,1.709,1564000
2010-03-04,1.719,1.739,1.67,1.687,1.687,2034000
2010-03-05,1.702,1.739,1.694,1.705,1.705,3857000
2010-03-08,1.71,1.73,1.71,1.724,1.724,3159000
2010-03-09,1.713,1.764,1.701,1.701,1.701,3533000
2010-03-10,1.707,1.713,1.647,1.666,1.666,2836000
2010-03-11,1.659,1.659,1.622,1.637,1.637,1946000
2010-03-12,1.65,1.65,1.62,1.634,1.634,1479000
2010-03-15,1.636,1.688,1.623,1.633,1.633,1644000
2010-03-16,1.633,1.68,1.604,1.648,1.648,2364000
2010-03-17,1.655,1.702,1.644,1.694,1.694,4712000
2010-03-18,1.7,1.755,1.7,1.718,1.718,6276000
2010-03-19,1.71,1.725,1.672,1.71,1.71,4524000
2010-03-22,1.697,1.733,1.695,1.713,1.713,5656000
2010-03-23,1.71,1.74,1.705,1.734,1.734,2566000
2010-03-24,1.73,1.764,1.715,1.721,1.721,1864000
2010-03-25,1.728,1.758,1.717,1.72,1.72,1435000
2010-03-26,1.721,1.732,1.689,1.705,1.705,3375000
2010-03-29,1.704,1.74,1.697,1.74,1.74,2080000
2010-03-30,1.737,1.77,1.727,1.766,1.766,2360000
2010-03-31,1.763,1.79,1.752,1.758,1.758,2122000
2010-04-01,1.775,1.795,1.762,1.769,1.769,3134000
2010-04-05,1.779,1.781,1.715,1.731,1.731,2824000
2010-04-06,1.716,1.74,1.702,1.721,1.721,1174000
2010-04-07,1.725,1.745,1.689,1.732,1.732,2007000
2010-04-08,1.729,1.737,1.675,1.701,1.701,2444000
2010-04-09,1.701,1.717,1.632,1.686,1.686,2302000
2010-04-12,1.681,1.71,1.67,1.702,1.702,2076000
2010-04-13,1.693,1.707,1.638,1.644,1.644,3421000
2010-04-14,1.664,1.72,1.619,1.705,1.705,5009000
2010-04-15,1.701,1.707,1.64,1.646,1.646,5674000
2010-04-16,1.648,1.649,1.588,1.62,1.62,6131000
2010-04-19,1.618,1.654,1.618,1.625,1.625,2299000
2010-04-20,1.628,1.668,1.618,1.666,1.666,3880000
2010-04-21,1.668,1.685,1.635,1.642,1.642,1622000
2010-04-22,1.621,1.66,1.61,1.636,1.636,2030000
2010-04-23,1.639,1.66,1.586,1.658,1.658,3118000
2010-04-26,1.66,1.667,1.619,1.626,1.626,2205000
2010-04-27,1.622,1.666,1.604,1.643,1.643,2930000
2010-04-28,1.665,1.687,1.622,1.682,1.682,3958000
2010-04-29,1.734,1.8,1.694,1.78,1.78,11761000
2010-04-30,1.791,1.921,1.754,1.778,1.778,7126000
2010-05-03,1.781,1.869,1.776,1.863,1.863,3818000
2010-05-04,1.846,1.914,1.75,1.791,1.791,4426000
2010-05-05,1.785,1.793,1.731,1.763,1.763,2658000
2010-05-06,1.746,1.772,1.561,1.719,1.719,5831000
2010-05-07,1.713,1.72,1.616,1.646,1.646,3039000
2010-05-10,1.736,1.75,1.671,1.69,1.69,3134000
2010-05-11,1.662,1.705,1.646,1.675,1.675,2587000
2010-05-12,1.688,1.73,1.666,1.717,1.717,3102000
2010-05-13,1.703,1.712,1.66,1.675,1.675,2852000
2010-05-14,1.651,1.67,1.612,1.614,1.614,4737000
2010-05-17,1.52,1.68,1.51,1.675,1.675,37874000
2010-05-18,1.664,1.708,1.654,1.657,1.657,15171000
2010-05-19,1.646,1.696,1.636,1.653,1.653,15633000
2010-05-20,1.635,1.659,1.601,1.622,1.622,7477000
2010-05-21,1.607,1.645,1.6,1.626,1.626,9047000
2010-05-24,1.626,1.646,1.599,1.604,1.604,3399000
2010-05-25,1.562,1.582,1.549,1.572,1.572,13869000
2010-05-26,1.57,1.637,1.57,1.62,1.62,9312000
2010-05-27,1.644,1.644,1.602,1.62,1.62,16165000
2010-05-28,1.612,1.64,1.597,1.632,1.632,8984000
2010-06-01,1.612,1.631,1.57,1.573,1.573,9361000
2010-06-02,1.588,1.603,1.573,1.6,1.6,4271000
2010-06-03,1.598,1.611,1.55,1.578,1.578,10916000
2010-06-04,1.557,1.582,1.516,1.519,1.519,5524000
2010-06-07,1.527,1.532,1.5,1.504,1.504,5678000
2010-06-08,1.502,1.521,1.478,1.5,1.5,4358000
2010-06-09,1.508,1.565,1.503,1.51,1.51,10155000
2010-06-10,1.524,1.561,1.513,1.545,1.545,5876000
2010-06-11,1.539,1.597,1.539,1.58,1.58,10352000
2010-06-14,1.581,1.635,1.581,1.619,1.619,8637000
2010-06-15,1.622,1.643,1.616,1.642,1.642,7338000
2010-06-16,1.629,1.644,1.617,1.625,1.625,6340000
2010-06-17,1.626,1.668,1.625,1.65,1.65,6861000
2010-06-18,1.659,1.715,1.655,1.714,1.714,12798000
2010-06-21,1.715,1.718,1.696,1.705,1.705,9569000
2010-06-22,1.699,1.727,1.689,1.698,1.698,9420000
