Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,13.0,13.25,12.4,12.84,8.460629,9627100
2010-02-12,12.76,13.41,12.76,13.41,8.836217,884000
2010-02-16,13.4,13.42,12.91,13.32,8.776914,166900
2010-02-17,13.22,14.0,13.2,13.3,8.763735,400400
2010-02-18,13.1,13.15,12.85,13.03,8.585825,402300
2010-02-19,13.0,13.23,12.9,13.23,8.71761,325600
2010-02-22,13.28,13.7,13.06,13.09,8.62536,189900
2010-02-23,13.05,13.3,13.01,13.07,8.612182,110000
2010-02-24,13.0,13.05,12.92,13.05,8.599004,36800
2010-02-25,13.0,13.2,12.99,13.2,8.697843,192600
2010-02-26,13.02,13.54,13.01,13.43,8.849396,72100
2010-03-01,13.5,13.55,13.11,13.25,8.730789,92200
2010-03-02,13.25,13.38,13.05,13.23,8.71761,100400
2010-03-03,13.12,13.26,13.04,13.14,8.658307,39700
2010-03-04,13.04,13.35,13.01,13.25,8.730789,53600
2010-03-05,13.2,13.2,13.05,13.1,8.63195,44000
2010-03-08,13.13,13.55,13.11,13.48,8.882341,32700
2010-03-09,13.36,13.58,13.21,13.58,8.948235,30700
2010-03-10,13.4,13.83,13.38,13.75,9.060252,76000
2010-03-11,13.51,14.09,13.5,13.99,9.218395,127700
2010-03-12,13.84,14.2,13.7,14.15,9.323824,147100
2010-03-15,14.0,15.69,14.0,14.99,9.877323,413100
2010-03-16,15.31,15.79,14.65,15.33,10.101358,289800
2010-03-17,15.27,15.5,14.38,15.4,10.147483,168300
2010-03-18,15.3,15.45,15.21,15.39,10.140894,38600
2010-03-19,15.4,15.5,14.3,15.4,10.147483,204200
2010-03-22,15.24,15.45,15.04,15.11,9.956394,96100
2010-03-23,15.18,15.73,14.8,15.15,9.982751,171700
2010-03-24,15.11,15.26,14.92,15.18,10.00252,56300
2010-03-25,15.02,15.18,14.81,15.02,9.897091,50400
2010-03-26,14.91,15.44,14.51,14.75,9.71918,265400
2010-03-29,13.51,14.62,13.51,14.42,9.501734,351400
2010-03-30,14.75,15.19,14.05,14.14,9.317234,254600
2010-03-31,14.25,14.39,13.82,14.01,9.231574,1530600
2010-04-01,14.05,14.37,13.95,14.3,9.422663,200300
2010-04-05,14.42,14.54,14.32,14.4,9.488555,98600
2010-04-06,14.25,14.82,14.15,14.79,9.745538,72700
2010-04-07,14.7,14.91,14.55,14.9,9.818019,66300
2010-04-08,14.9,15.4,14.77,15.38,10.134304,63000
2010-04-09,15.25,15.38,15.2,15.31,10.08818,96000
2010-04-12,15.35,15.54,15.2,15.24,10.042054,91600
2010-04-13,15.16,15.41,14.84,15.22,10.028876,82000
2010-04-14,15.35,15.5,15.1,15.23,10.035465,131400
