Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.529999,32.75,32.32,32.540001,22.022366,1652600
2010-01-05,32.630001,32.630001,31.85,32.18,21.778723,1646900
2010-01-06,32.220001,32.220001,31.700001,32.150002,21.758413,1307500
2010-01-07,32.060001,32.259998,31.370001,31.690001,21.447096,3140300
2010-01-08,32.09,32.34,31.469999,31.77,21.501238,2699600
2010-01-11,31.9,32.0,31.5,31.74,21.480934,1082500
2010-01-12,31.65,31.690001,31.040001,31.24,21.142546,3105500
2010-01-13,31.219999,31.76,31.200001,31.690001,21.447096,1277300
2010-01-14,31.610001,32.07,31.51,32.02,21.670435,1269000
2010-01-15,31.99,32.240002,31.700001,32.16,21.765182,2017200
2010-01-19,32.18,32.43,31.98,32.330002,21.880243,998500
2010-01-20,32.080002,32.310001,31.799999,32.259998,21.832861,1499100
2010-01-21,32.150002,32.540001,32.0,32.099998,21.724575,2252400
2010-01-22,32.0,32.27,31.23,31.290001,21.176386,1615100
2010-01-25,31.450001,31.620001,31.209999,31.42,21.264374,1101000
2010-01-26,31.299999,31.59,31.25,31.280001,21.169621,1045500
2010-01-27,31.209999,31.530001,31.01,31.49,21.311745,1042300
2010-01-28,31.559999,31.73,31.219999,31.540001,21.345581,971500
2010-01-29,31.620001,31.620001,30.530001,30.549999,20.807518,2446200
2010-02-01,30.719999,31.379999,30.549999,31.190001,21.243423,2397600
2010-02-02,31.27,32.009998,31.07,31.959999,21.767855,2635000
2010-02-03,31.85,32.23,31.690001,32.07,21.842781,1631600
2010-02-04,31.84,32.029999,31.219999,31.26,21.291096,2043400
2010-02-05,31.200001,31.35,30.200001,30.799999,20.977787,2782800
2010-02-08,33.650002,35.189999,33.529999,34.709999,23.640886,11443600
2010-02-09,34.759998,35.279999,34.470001,35.060001,23.879269,4256100
2010-02-10,35.040001,35.610001,34.889999,35.299999,24.042727,3308300
2010-02-11,35.330002,36.189999,35.060001,36.139999,24.614849,2432600
2010-02-12,35.919998,36.0,35.470001,35.549999,24.212997,4321800
2010-02-16,35.84,35.98,34.759998,35.029999,23.858831,3858100
2010-02-17,35.139999,35.509998,35.02,35.43,24.131279,1485800
2010-02-18,35.330002,35.82,35.18,35.759998,24.35603,1821500
2010-02-19,35.619999,35.990002,35.369999,35.799999,24.38328,1565200
2010-02-22,35.91,35.919998,35.419998,35.52,24.192574,1627800
2010-02-23,35.5,35.540001,35.049999,35.279999,24.029093,1283800
2010-02-24,35.48,35.540001,35.110001,35.48,24.165321,1461100
2010-02-25,35.200001,35.740002,34.650002,35.689999,24.30835,2058100
2010-02-26,35.529999,35.990002,35.41,35.779999,24.369656,1570700
2010-03-01,35.799999,36.189999,35.5,36.060001,24.560356,1668600
2010-03-02,36.16,36.68,36.049999,36.610001,24.934971,2394400
2010-03-03,36.59,36.669998,36.299999,36.330002,24.744263,1665100
2010-03-04,36.310001,36.73,36.310001,36.73,25.016697,1514500
2010-03-05,36.939999,37.52,36.610001,37.470001,25.520708,1363900
2010-03-08,37.470001,37.73,37.290001,37.5,25.541134,1398500
2010-03-09,37.400002,37.93,37.400002,37.68,25.663731,1147600
2010-03-10,37.669998,38.009998,37.43,38.009998,25.888491,1623000
2010-03-11,37.900002,38.150002,37.650002,38.09,25.942987,897900
2010-03-12,38.82,38.82,37.75,38.200001,26.017912,942300
2010-03-15,37.610001,37.91,37.389999,37.630001,25.629684,1839200
2010-03-16,37.68,38.130001,37.639999,37.849998,25.779533,1767000
2010-03-17,37.98,38.240002,37.77,38.139999,25.977034,1404400
2010-03-18,38.209999,38.34,37.919998,38.099998,25.9498,1110700
2010-03-19,37.889999,38.34,37.849998,37.889999,25.80677,1436300
2010-03-22,38.009998,38.299999,37.799999,38.25,26.051966,1408500
2010-03-23,38.389999,38.5,37.900002,38.23,26.038342,1177600
2010-03-24,38.150002,38.290001,37.790001,38.060001,25.92255,1344500
2010-03-25,38.18,38.57,38.07,38.099998,25.9498,1809500
2010-03-26,38.139999,38.68,38.110001,38.41,26.160942,1676400
2010-03-29,38.560001,39.23,38.560001,39.220001,26.712629,2225300
2010-03-30,39.23,39.59,39.029999,39.049999,26.596836,1140700
2010-03-31,39.049999,39.07,38.25,38.279999,26.072409,1372400
2010-04-01,38.549999,38.779999,38.119999,38.360001,26.126883,1591400
2010-04-05,38.290001,39.209999,38.290001,39.130001,26.651333,1282300
2010-04-06,39.189999,39.189999,38.490002,38.93,26.515114,1557500
2010-04-07,38.830002,39.0,38.130001,38.400002,26.154131,1089900
2010-04-08,38.32,38.75,38.0,38.669998,26.338018,870100
2010-04-09,38.799999,39.0,38.439999,38.93,26.515114,1323800
2010-04-12,39.07,39.240002,38.82,39.099998,26.630896,1007400
2010-04-13,39.240002,39.43,39.07,39.310001,26.773932,965800
2010-04-14,39.330002,39.580002,39.220001,39.52,26.916958,1190700
2010-04-15,39.560001,40.25,39.389999,40.139999,27.339237,1301500
2010-04-16,40.400002,40.529999,39.779999,39.849998,27.141726,2632300
2010-04-19,40.369999,41.0,39.919998,40.91,27.863686,4461900
2010-04-20,41.209999,41.5,40.73,40.950001,27.89093,1939400
2010-04-21,40.639999,40.73,39.810001,40.130001,27.332428,2152500
2010-04-22,39.880001,40.459999,39.669998,40.41,27.523129,1113600
2010-04-23,40.470001,40.73,40.099998,40.529999,27.60486,1378400
2010-04-26,40.689999,41.0,40.389999,40.41,27.523129,1531000
2010-04-27,40.189999,40.580002,39.310001,39.439999,26.862463,1984000
2010-04-28,39.459999,39.759998,38.75,39.029999,26.583212,1896400
2010-04-29,39.060001,39.400002,38.669998,39.32,26.953373,1570000
2010-04-30,39.32,39.580002,38.32,38.360001,26.295317,2156400
2010-05-03,38.470001,40.299999,38.459999,40.119999,27.501766,1996800
2010-05-04,40.18,40.349998,38.779999,38.939999,26.692898,3052800
2010-05-05,38.549999,39.810001,38.439999,39.5,27.076773,2650900
2010-05-06,39.34,39.900002,36.0,39.290001,26.932821,4113400
