Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.009998,36.259998,35.759998,36.220001,26.734108,1048000
2010-01-05,36.240002,37.91,36.0,37.169998,27.435307,3828900
2010-01-06,37.32,37.529999,36.75,36.849998,27.199114,1492400
2010-01-07,37.02,37.02,36.360001,36.490002,26.933392,1148300
2010-01-08,36.549999,36.630001,36.200001,36.380001,26.852211,836600
2010-01-11,36.419998,36.419998,35.830002,36.18,26.704584,1257400
2010-01-12,36.200001,37.799999,36.150002,37.75,27.863403,2368700
2010-01-13,37.369999,38.049999,36.459999,36.610001,27.021973,4881000
2010-01-14,36.73,37.080002,36.509998,36.959999,27.280312,1765300
2010-01-15,36.639999,36.860001,35.970001,36.25,26.756252,1959300
2010-01-19,37.259998,38.009998,37.259998,37.349998,27.568165,3543800
2010-01-20,37.32,37.32,36.720001,37.080002,27.368877,1827600
2010-01-21,37.34,37.34,36.18,36.189999,26.711977,2642200
2010-01-22,36.529999,36.889999,36.099998,36.279999,26.778397,1648800
2010-01-25,36.400002,36.82,36.150002,36.450001,26.903868,1876100
2010-01-26,35.950001,36.549999,35.950001,36.5,26.940786,2754900
2010-01-27,36.43,37.349998,36.400002,37.290001,27.523884,2956700
2010-01-28,37.290001,37.380001,36.830002,37.130001,27.405777,1950900
2010-01-29,37.200001,37.23,36.43,36.43,26.889116,2409800
2010-02-01,36.59,36.810001,36.060001,36.810001,27.16959,2235200
2010-02-02,37.849998,37.959999,36.950001,37.200001,27.457453,2704500
2010-02-03,37.23,37.57,36.950001,37.150002,27.420559,1416200
2010-02-04,37.009998,37.16,36.75,36.900002,27.236025,2432000
2010-02-05,36.830002,37.5,36.77,37.349998,27.568165,2325600
2010-02-08,37.459999,37.459999,36.900002,36.950001,27.272924,1472300
2010-02-09,37.240002,37.369999,37.049999,37.200001,27.457453,1694000
2010-02-10,37.07,37.279999,36.75,37.220001,27.472223,1231300
2010-02-11,37.23,37.450001,36.84,37.400002,27.605082,1341600
2010-02-12,37.25,37.73,37.029999,37.599998,27.752691,1858400
2010-02-16,37.610001,38.380001,37.529999,38.380001,28.328415,1722800
2010-02-17,38.310001,38.48,38.220001,38.389999,28.335791,1330800
2010-02-18,37.919998,38.84,37.810001,38.830002,28.660545,1441100
2010-02-19,38.900002,40.009998,38.5,39.970001,29.502005,3565100
2010-02-22,39.98,40.099998,39.549999,39.740002,29.332243,4638900
2010-02-23,39.389999,39.669998,39.09,39.259998,29.213177,1119000
2010-02-24,39.34,39.689999,39.25,39.639999,29.495943,1467700
2010-02-25,39.41,39.75,39.25,39.73,29.562902,2333900
2010-02-26,39.709999,39.990002,39.66,39.759998,29.58523,1433900
2010-03-01,39.91,40.209999,39.790001,39.91,29.696833,1539000
2010-03-02,40.009998,40.330002,39.91,40.169998,29.890303,1185700
2010-03-03,40.27,40.810001,40.049999,40.759998,30.329332,2376800
2010-03-04,40.779999,41.23,40.759998,41.099998,30.58231,1879000
2010-03-05,41.290001,41.459999,40.970001,41.450001,30.842752,1596700
2010-03-08,41.299999,41.5,40.849998,41.200001,30.656721,1724200
2010-03-09,41.009998,41.720001,40.950001,41.57,30.932043,1679800
2010-03-10,41.610001,41.650002,41.259998,41.5,30.879953,1512900
