Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.728437,19.025137,18.665976,18.879391,12.526977,8334301
2010-01-05,18.848158,18.947058,18.671181,18.785694,12.464808,4704110
2010-01-06,18.775286,18.848158,18.692001,18.723232,12.423364,5095062
2010-01-07,18.74926,18.900209,18.629538,18.858568,12.513158,6697872
2010-01-08,18.785694,18.983494,18.655563,18.921032,12.554608,6177818
2010-01-11,19.025137,19.451965,19.019932,19.410324,12.879261,7072879
2010-01-12,19.264578,19.483196,19.170883,19.384296,12.861996,4880471
2010-01-13,19.384296,19.514427,19.176088,19.207319,12.744565,5235306
2010-01-14,19.186499,19.488401,19.186499,19.405119,12.875816,3614630
2010-01-15,19.431145,19.602917,19.129242,19.540455,12.965611,6473290
2010-01-19,20.040157,20.237955,19.524839,19.878796,13.190108,26371909
2010-01-20,19.821537,19.951668,19.649763,19.85277,13.172836,13688525
2010-01-21,19.925642,20.003719,19.519634,19.639355,13.031231,8785193
2010-01-22,19.628942,19.707022,19.243755,19.285398,12.796377,10818915
2010-01-25,19.483196,19.55607,19.165676,19.191704,12.734203,5772649
2010-01-26,19.014727,19.212524,18.983494,19.035547,12.630588,7965249
2010-01-27,18.978289,19.056368,18.764874,18.999109,12.675735,7212354
2010-01-28,18.999109,19.11883,18.63995,18.790901,12.536824,7451344
2010-01-29,18.863773,18.884596,18.348455,18.44215,12.304148,8245352
2010-02-01,18.577486,18.619127,18.312019,18.499407,12.34235,7287662
2010-02-02,18.582691,19.035547,18.582691,18.993904,12.672266,9120048
2010-02-03,19.014727,19.202114,18.962673,19.00952,12.682681,6606233
2010-02-04,18.822132,18.848158,18.24435,18.24435,12.17218,6909389
2010-02-05,18.379686,18.457766,17.703007,17.958063,11.981177,11036196
2010-02-08,18.020527,18.062168,17.671776,17.671776,11.790171,6179163
2010-02-09,17.937243,18.228735,17.874779,18.11422,12.085358,7954683
2010-02-10,18.093399,18.22353,17.958063,17.999704,12.008958,5359027
2010-02-11,17.963268,18.13504,17.843548,18.046553,12.040215,6031427
2010-02-12,17.843548,17.963268,17.614517,17.963268,11.984649,4510267
2010-02-16,17.994499,18.218325,17.90601,18.171476,12.123562,5611465
2010-02-17,18.296404,18.546253,18.265171,18.379686,12.262473,5468725
2010-02-18,18.306814,18.478586,18.259966,18.436945,12.300671,4584615
2010-02-19,18.410917,18.681591,18.317225,18.535845,12.36666,4518720
2010-02-22,18.520227,18.759668,18.462971,18.468176,12.321511,4895264
2010-02-23,18.390097,18.567076,18.197504,18.306814,12.213852,6530348
2010-02-24,18.379686,18.457766,18.270376,18.358866,12.248582,4271084
2010-02-25,18.24435,18.608717,17.859163,18.582691,12.397912,8461673
2010-02-26,18.525434,18.842953,18.43174,18.770081,12.522937,6987388
2010-03-01,18.832542,19.285398,18.832542,19.124037,12.759082,7228683
2010-03-02,19.222935,19.431145,19.181293,19.24896,12.842431,7764298
2010-03-03,19.264578,19.33745,19.071983,19.129242,12.762557,9334832
2010-03-04,19.092804,19.108419,18.868979,19.051163,12.710466,8197708
2010-03-05,19.259373,19.602917,19.222935,19.524839,13.026488,6749166
2010-03-08,19.602917,19.618532,19.290604,19.415529,12.953562,6528235
2010-03-09,19.410324,19.64456,19.34786,19.613329,13.085526,5409746
2010-03-10,19.561275,19.779896,19.254166,19.618532,13.088995,5365367
2010-03-11,19.64456,19.790306,19.524839,19.753868,13.179296,6837539
2010-03-12,19.805922,19.962078,19.524839,19.602917,13.078584,7127055
2010-03-15,19.597712,19.597712,19.259373,19.44676,12.974401,7296115
2010-03-16,19.540455,19.602917,19.259373,19.389503,12.936194,8877408
2010-03-17,19.42594,19.597712,19.087599,19.155268,12.779924,9399190
2010-03-18,19.191704,19.332245,18.973083,19.306219,12.880633,10016838
2010-03-19,19.150063,19.384296,18.952263,19.150063,12.776448,8575981
2010-03-22,19.077188,19.415529,18.962673,19.373886,12.925776,7501101
2010-03-23,19.342655,19.467581,19.274986,19.43635,12.967453,4773463
2010-03-24,19.368683,19.405119,19.170883,19.332245,12.897999,5941134
2010-03-25,19.509224,19.519634,19.124037,19.13965,12.769505,6428912
2010-03-26,19.222935,19.33745,19.025137,19.186499,12.800754,4282995
2010-03-29,19.316629,19.561275,19.301014,19.467581,12.988289,6738792
2010-03-30,19.472786,19.988106,19.441555,19.894409,13.273059,13123902
2010-03-31,19.941257,19.977694,19.76428,19.910027,13.283485,7300726
2010-04-01,19.920437,20.196314,19.920437,20.175493,13.460595,9280848
2010-04-05,20.175493,20.623142,20.102619,20.420139,13.623811,9304670
2010-04-06,20.33165,20.581503,20.33165,20.508629,13.682849,7434054
2010-04-07,20.420139,20.482601,20.316034,20.414934,13.620338,8461481
2010-04-08,20.33165,20.565886,20.206724,20.524244,13.693268,5430302
2010-04-09,20.56068,20.711632,20.472193,20.685606,13.800925,4895840
2010-04-12,20.696016,20.737659,20.529449,20.529449,13.696746,4590955
2010-04-13,20.456575,20.737659,20.373293,20.586706,13.734943,7173931
2010-04-14,20.753275,21.060383,20.607529,20.784506,13.866912,11566623
2010-04-15,20.65958,21.008331,20.65958,20.831352,13.898162,7898394
2010-04-16,20.753275,20.883406,20.487806,20.779301,13.863441,8931392
2010-04-19,20.669991,20.732452,20.482601,20.722042,13.825233,9443569
2010-04-20,20.810532,20.831352,20.565886,20.737659,13.835656,9045700
2010-04-21,20.685606,20.883406,20.65958,20.86779,13.922478,6608923
2010-04-22,20.706427,21.023947,20.617937,21.008331,14.016239,8431895
2010-04-23,20.982306,21.107229,20.872995,21.102024,14.078753,7560657
2010-04-26,21.138462,21.138462,20.909431,21.029152,14.030127,14186486
2010-04-27,20.586706,20.945868,20.56068,20.586706,13.734943,15802167
2010-04-28,20.612734,20.841763,20.534655,20.591911,13.738416,14086202
2010-04-29,20.711632,20.737659,20.300419,20.378496,13.596031,17513136
2010-04-30,20.336855,20.503424,20.081799,20.191109,13.471008,9862378
2010-05-03,20.326445,20.435755,20.097416,20.336855,13.568249,10919198
2010-05-04,20.13385,20.378496,19.936052,20.191109,13.471008,12994225
2010-05-05,20.024542,20.373293,19.889206,20.029747,13.36335,15032173
2010-05-06,19.925642,20.290009,17.697802,19.441555,12.970922,17332741
2010-05-07,19.467581,19.514427,18.665976,19.082394,12.731302,19668466
2010-05-10,19.904821,19.951668,19.493607,19.660175,13.116783,14516730
2010-05-11,19.441555,20.170288,19.441555,19.946463,13.307787,17857789
2010-05-12,20.113029,20.820942,20.029747,20.815737,13.887745,17627444
2010-05-13,20.680401,20.85738,20.378496,20.414934,13.620338,18715195
2010-05-14,20.165083,20.425344,19.894409,20.029747,13.36335,11152425
2010-05-17,20.055773,20.253572,19.608124,19.842358,13.305759,10919967
2010-05-18,20.029747,20.388908,19.774691,19.847563,13.309249,17085874
2010-05-19,19.712227,19.837152,19.368683,19.608124,13.148686,13911954
2010-05-20,19.243755,19.311424,18.733643,18.738848,12.565778,15829447
2010-05-21,18.535845,19.155268,18.509817,19.108419,12.8136,15986404
2010-05-24,19.066778,19.301014,18.473381,18.926237,12.691433,11923187
2010-05-25,18.613922,18.692001,18.291199,18.608717,12.478514,17911389
2010-05-26,18.74926,19.077188,18.509817,18.525434,12.422666,18122331
2010-05-27,18.790901,19.103214,18.733643,19.103214,12.810115,9128693
2010-05-28,19.103214,19.155268,18.738848,18.837748,12.632098,13467786
2010-06-01,18.754463,19.066778,18.650358,18.655563,12.509929,8405767
2010-06-02,18.733643,18.962673,18.650358,18.962673,12.715865,14541321
2010-06-03,19.108419,19.259373,18.936647,19.186499,12.86596,8825729
2010-06-04,18.806517,18.973083,18.494202,18.593102,12.46804,11326288
2010-06-07,18.567076,18.665976,18.254761,18.32243,12.286533,14618743
2010-06-08,18.24435,18.535845,18.119425,18.218325,12.216726,15733966
2010-06-09,18.374481,18.593102,18.21312,18.317225,12.283043,11066550
2010-06-10,18.738848,19.040752,18.546253,19.00952,12.747284,10631411
2010-06-11,18.775286,19.207319,18.775286,19.176088,12.858972,10930917
2010-06-14,19.233347,19.571686,19.144857,19.176088,12.858972,12260348
2010-06-15,19.316629,19.701817,19.280193,19.696611,13.208026,8320084
2010-06-16,19.514427,19.837152,19.514427,19.769485,13.256891,6737447
2010-06-17,19.753868,20.019337,19.63415,19.967283,13.389532,11593904
2010-06-18,20.029747,20.201519,19.904821,20.201519,13.546603,11010837
2010-06-21,20.33165,20.394114,20.060978,20.24316,13.574527,9642215
2010-06-22,20.310829,20.399319,19.842358,19.894409,13.340664,11496310
2010-06-23,19.910027,19.972488,19.597712,19.707022,13.215004,11333012
2010-06-24,19.582096,19.696611,18.879391,19.11883,12.820578,21639174
2010-06-25,19.269781,19.467581,18.931442,19.316629,12.953219,63036532
2010-06-28,19.301014,19.353065,18.921032,19.134445,12.831048,8231712
2010-06-29,18.921032,18.988699,18.369276,18.478586,12.391251,10720360
2010-06-30,18.436945,18.63995,18.280787,18.338045,12.297008,9083354
2010-07-01,18.285994,18.405712,17.81752,18.093399,12.132956,11380657
2010-07-02,18.161066,18.291199,17.859163,17.921625,12.017765,7660364
2010-07-06,18.056961,18.624332,18.010115,18.561871,12.447097,17815524
2010-07-07,18.744053,19.22814,18.634743,19.207319,12.879921,15880741
2010-07-08,19.269781,19.358271,19.051163,19.191704,12.869448,12570228
2010-07-09,19.124037,19.160473,18.832542,19.035547,12.764732,11716088
2010-07-12,19.035547,19.113625,18.738848,19.03034,12.761242,8687215
2010-07-13,19.165676,19.524839,19.165676,19.420734,13.02303,5966493
2010-07-14,19.316629,19.389503,18.931442,18.999109,12.740301,13837414
2010-07-15,18.967878,19.212524,18.801311,19.176088,12.858972,8556385
2010-07-16,18.999109,19.103214,18.707617,18.712822,12.548321,7218309
2010-07-19,18.718027,18.790901,18.416124,18.598307,12.471532,10331137
2010-07-20,18.353661,18.676386,18.176683,18.629538,12.492476,15980064
2010-07-21,18.770081,18.780491,18.447355,18.692001,12.53436,13429555
2010-07-22,18.884596,19.113625,18.858568,19.004314,12.743793,5793590
2010-07-23,19.071983,19.353065,18.858568,19.321835,12.956711,6652341
2010-07-26,19.321835,19.441555,19.254166,19.358271,12.98114,7394670
2010-07-27,19.451965,19.504019,19.051163,19.13965,12.834542,10665992
2010-07-28,19.025137,19.160473,18.900209,19.040752,12.841214,7986382
2010-07-29,18.665976,19.316629,18.619127,19.243755,12.978117,10538428
2010-07-30,19.066778,19.982899,19.025137,19.925642,13.43799,11842884
2010-08-02,20.050568,20.170288,19.941257,20.024542,13.50469,6455616
2010-08-03,19.857973,20.066183,19.805922,20.040157,13.515215,4585191
2010-08-04,20.045362,20.139057,19.925642,19.977694,13.473092,8719682
2010-08-05,19.936052,20.034952,19.759073,19.910027,13.427463,6743211
2010-08-06,19.639355,19.826742,19.44676,19.613329,13.227361,10994699
2010-08-09,19.65497,19.920437,19.608124,19.904821,13.423945,6650419
2010-08-10,19.691406,19.733047,19.394709,19.55607,13.188748,6110578
2010-08-11,19.306219,19.540455,19.160473,19.222935,12.964075,10109629
2010-08-12,18.900209,19.13965,18.832542,19.035547,12.8377,5685045
2010-08-13,18.941853,19.11883,18.905416,18.988699,12.806105,10329792
2010-08-16,18.910622,19.207319,18.754463,19.181293,12.935996,5854874
2010-08-17,19.269781,19.613329,19.191704,19.415529,13.093966,6308456
2010-08-18,19.43635,19.608124,19.274986,19.504019,13.153646,5157692
2010-08-19,19.368683,19.509224,19.071983,19.124037,12.89738,5765733
2010-08-20,20.097416,20.284803,19.863178,20.144262,13.585429,38417089
2010-08-23,20.232752,20.326445,20.060978,20.24316,13.652124,17169444
2010-08-24,19.993311,20.154673,19.800716,20.040157,13.515215,17196724
2010-08-25,19.920437,20.087004,19.85277,19.988106,13.480116,28535116
2010-08-26,20.008926,20.008926,19.613329,19.936052,13.445008,209199945
2010-08-27,19.904821,20.066183,19.74346,20.040157,13.515215,33713364
2010-08-30,20.008926,20.087004,19.618532,19.639355,13.244916,16127608
2010-08-31,19.576891,19.785101,19.269781,19.405119,13.086946,17417848
2010-09-01,19.701817,20.040157,19.686201,19.962078,13.462561,15922046
2010-09-02,19.936052,20.123442,19.894409,20.092209,13.550323,8570986
2010-09-03,20.253572,20.43055,20.159878,20.191109,13.61702,9863723
2010-09-07,20.092209,20.284803,20.019337,20.217134,13.634574,10824486
2010-09-08,20.196314,20.690811,20.196314,20.602324,13.894353,14525183
2010-09-09,20.75848,20.805326,20.55027,20.711632,13.968064,7878990
2010-09-10,20.706427,20.84697,20.664785,20.680401,13.947004,6427759
2010-09-13,20.815737,20.831352,20.420139,20.534655,13.84871,10196272
2010-09-14,20.586706,20.711632,20.388908,20.597116,13.890831,8053430
2010-09-15,19.790306,20.35247,19.790306,20.300419,13.690743,11455966
2010-09-16,20.295214,20.399319,20.206724,20.295214,13.687234,6138243
2010-09-17,20.461781,20.529449,20.227547,20.519039,13.838181,12548712
2010-09-20,20.586706,20.669991,20.394114,20.524244,13.84169,9920973
2010-09-21,20.565886,20.64917,20.211929,20.378496,13.743395,10225282
2010-09-22,20.373293,20.487806,20.165083,20.357676,13.729353,6510944
2010-09-23,20.118237,20.258778,19.87359,19.930847,13.4415,6314796
2010-09-24,20.081799,20.310829,20.019337,20.066183,13.532773,8757144
2010-09-27,19.85277,19.998514,19.602917,19.623737,13.234383,10648317
2010-09-28,19.618532,19.811127,19.42594,19.514427,13.160664,36104994
2010-09-29,19.431145,19.530045,19.274986,19.332245,13.0378,13367118
2010-09-30,19.45717,19.561275,18.931442,19.11883,12.893867,15644825
2010-10-01,19.196909,19.514427,19.150063,19.431145,13.104495,10097334
2010-10-04,19.384296,19.45717,18.884596,18.947058,12.778025,12305303
2010-10-05,19.014727,19.66538,19.004314,19.597712,13.216832,12585982
2010-10-06,19.561275,19.727842,19.493607,19.519634,13.164174,11701872
2010-10-07,19.53525,19.582096,19.134445,19.342655,13.044817,12812292
2010-10-08,19.32704,19.530045,19.212524,19.451965,13.118537,10466385
2010-10-11,19.373886,19.488401,19.24896,19.410324,13.090455,8913525
2010-10-12,19.399914,19.540455,19.222935,19.410324,13.090455,11005842
2010-10-13,19.358271,19.707022,19.071983,19.597712,13.216832,14677914
2010-10-14,19.566481,19.748665,19.441555,19.748665,13.318634,9645289
