Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,79.193359,80.007706,78.752647,79.614906,53.24567,3630352
2010-01-05,79.691551,79.739449,78.589775,79.04007,52.861237,3515432
2010-01-06,78.94426,80.352608,78.398163,79.988548,53.495529,5578661
2010-01-07,79.471191,80.122681,78.91552,79.394547,53.098297,4300559
2010-01-08,79.059227,80.266388,78.110748,80.2089,53.642929,4336465
2010-01-11,80.620872,81.272346,78.848457,79.480774,53.155949,4079384
2010-01-12,78.369423,78.723907,76.558685,76.798203,51.361904,7071676
2010-01-13,76.970657,77.315559,75.303627,76.290428,51.022297,7685520
2010-01-14,75.830559,77.056877,75.801819,76.88443,51.419567,4717547
2010-01-15,76.683235,76.903587,75.06411,75.610207,50.56736,8252916
2010-01-19,75.351532,76.098816,74.968307,76.031754,50.8493,5700052
2010-01-20,75.303627,75.303627,73.588699,74.929985,50.112438,6289785
2010-01-21,74.872498,75.2174,72.707283,72.82225,48.702797,7607341
2010-01-22,73.377922,74.88208,72.544411,72.908478,48.760468,10140686
2010-01-25,73.799469,75.236565,73.579117,74.393471,49.753613,6724621
2010-01-26,73.013863,74.70005,73.013863,73.444984,49.119274,9110167
2010-01-27,73.483315,73.962341,72.228249,73.224632,48.971924,5282229
2010-01-28,74.211441,75.514404,71.260605,74.249763,49.657539,11850806
2010-01-29,74.862923,76.472466,74.489273,75.054535,50.195755,11222245
2010-02-01,75.773079,76.568268,75.638947,76.48204,51.150455,6349280
2010-02-02,76.750298,77.535912,75.888046,77.392204,51.759163,5384519
2010-02-03,77.277237,77.727524,76.300011,76.769463,51.342667,3686611
2010-02-04,76.098816,76.098816,73.100082,73.234215,48.978329,7981430
2010-02-05,73.176727,73.924019,71.15522,73.492889,49.151321,10682927
2010-02-08,73.550377,75.28447,72.831825,73.100082,48.888611,6923878
2010-02-09,74.153954,75.591049,73.272537,74.642563,49.920216,8421798
2010-02-10,75.121597,75.610207,73.866539,75.102432,50.227776,6153885
2010-02-11,75.169502,77.143105,74.489273,77.085625,51.554127,6484240
2010-02-12,75.888046,76.54911,75.00663,76.4533,51.131222,6458667
2010-02-16,77.602974,78.043686,76.529945,77.775429,52.015461,6079777
2010-02-17,77.775429,78.024521,76.510788,77.545494,51.861694,4957302
2010-02-18,77.238914,77.775429,76.443718,77.593391,51.8937,4299202
2010-02-19,77.382622,78.561035,77.200592,78.091583,52.226891,4047653
2010-02-22,78.561035,78.676003,76.491623,76.654495,51.265793,5543173
2010-02-23,76.740723,77.047302,75.581467,75.696434,50.625038,7660365
2010-02-24,76.424561,76.597008,75.466499,76.213783,50.971046,3818857
2010-02-25,74.719208,75.859306,73.809052,75.715591,50.637852,5354876
2010-02-26,76.194626,76.740723,75.370689,76.501205,51.16325,4590520
2010-03-01,76.894012,77.717941,76.779045,77.363457,51.739937,4347320
2010-03-02,77.823326,78.42691,77.507172,77.794586,52.028255,4214970
2010-03-03,78.110748,78.628098,77.449684,77.631714,51.919319,7052784
2010-03-04,77.526329,78.417328,77.440102,77.842491,52.060287,4530294
2010-03-05,78.522713,78.79097,77.919136,78.503555,52.502415,4004232
2010-03-08,78.340683,78.63768,77.631714,78.072426,52.425217,3621375
2010-03-09,77.507172,78.91552,77.411362,78.072426,52.425217,6393849
2010-03-10,77.928719,78.781387,77.593391,78.532295,52.734001,4511297
2010-03-11,78.225716,78.992165,78.024521,78.42691,52.663254,4073017
2010-03-12,78.925102,79.030487,78.014938,78.407745,52.650372,4116751
2010-03-15,78.043686,78.216133,76.807785,77.660461,52.148579,3329954
2010-03-16,78.158653,78.992165,77.535912,78.91552,52.991344,5761322
2010-03-17,79.183777,80.228065,79.059227,79.720291,53.531754,7288781
2010-03-18,79.404129,79.796936,78.110748,79.049644,53.081406,4751783
2010-03-19,79.116714,79.701134,78.407745,79.116714,53.126465,7077939
2010-03-22,78.120331,79.365807,77.852074,79.107132,53.119999,3924279
2010-03-23,79.107132,79.959808,78.503555,79.825676,53.602509,7832170
2010-03-24,79.394547,80.046036,78.905937,79.471191,53.364479,5380553
2010-03-25,80.228065,80.429253,77.995781,78.091583,52.438072,7057689
2010-03-26,78.48439,78.618523,77.737106,78.302361,52.579613,8429000
2010-03-29,78.79097,80.91787,78.503555,80.61129,54.130032,8497054
2010-03-30,81.147804,81.253189,80.477158,80.735832,54.213673,5316361
2010-03-31,80.82206,81.483124,80.371773,80.994514,54.387371,5715291
2010-04-01,81.674736,83.322601,81.674736,82.968117,55.712627,5674271
2010-04-05,83.360924,85.018372,83.169312,84.702209,56.877075,4804598
2010-04-06,84.386047,85.075851,84.194435,84.778854,56.928535,4484368
2010-04-07,84.357307,84.386047,82.39328,82.680702,55.519653,8814153
2010-04-08,82.172928,83.140572,81.147804,82.948959,55.699776,5892107
2010-04-09,82.977699,83.427986,82.000481,82.929794,55.686878,4725376
2010-04-12,83.073509,83.360924,82.690285,83.150154,55.834877,5168667
2010-04-13,82.719025,83.025604,81.186127,82.096283,55.127213,4652311
2010-04-14,82.556152,82.575317,81.435219,82.54657,55.429558,5141633
2010-04-15,82.431602,83.284279,81.732224,82.843575,55.629005,5035481
2010-04-16,82.192085,82.968117,81.042419,81.492706,54.721924,7133781
2010-04-19,80.630447,81.262772,79.902321,81.138222,54.483883,4885699
2010-04-20,82.000481,83.878281,81.808868,82.958534,55.706226,5043831
2010-04-21,82.824409,83.562119,81.540604,82.278313,55.249435,4495328
2010-04-22,81.483124,81.837608,80.678352,81.722641,54.876324,4756167
2010-04-23,81.866348,83.849533,81.032837,83.811211,56.278755,4830170
2010-04-26,83.983665,85.056694,83.523796,83.744148,56.233761,4043269
2010-04-27,83.178894,83.868698,80.51548,80.812485,54.265141,5735227
2010-04-28,81.310677,81.741798,80.352608,81.339417,54.618965,5132656
2010-04-29,81.368156,82.977699,81.166962,82.632797,55.487476,5680012
2010-04-30,83.006439,86.637497,82.79567,84.941727,57.037903,10390670
2010-05-03,85.430336,87.174011,85.248306,86.21595,57.893555,6950181
2010-05-04,84.318985,84.405212,81.674736,82.910637,55.674046,6012871
2010-05-05,81.454384,81.693893,78.88678,79.404129,53.319443,9211727
2010-05-06,78.88678,80.132256,71.088158,77.047302,51.736851,12066972
2010-05-07,76.903587,78.187393,74.518021,77.229332,51.85907,12910655
2010-05-10,79.739449,81.713058,79.164612,80.630447,54.142899,8535883
2010-05-11,79.595741,80.994514,79.174194,79.547836,53.415947,5616133
2010-05-12,79.691551,81.435219,79.691551,81.195702,54.52248,5150922
2010-05-13,80.8508,81.243607,79.739449,79.921486,53.666855,4875992
2010-05-14,79.260422,79.758614,76.91317,78.522713,52.727577,5704227
2010-05-17,78.628098,79.107132,75.993431,77.152687,51.807594,7276986
2010-05-18,78.561035,79.298744,77.19101,77.535912,52.06493,8227656
2010-05-19,77.123947,77.593391,74.891663,76.204208,51.170712,8239555
2010-05-20,74.364723,76.261688,73.397087,74.403053,49.961243,11224646
2010-05-21,72.889313,76.376656,72.458183,76.079659,51.087067,9469226
2010-05-24,76.165886,76.300011,74.508438,74.632988,50.115643,5909538
2010-05-25,72.812668,75.715591,71.758797,75.629372,50.784698,7879244
2010-05-26,76.558685,77.028137,74.661728,74.901245,50.295784,6853005
2010-05-27,76.644913,79.059227,76.357498,78.973,53.029938,6592688
2010-05-28,78.953842,80.36219,78.196976,79.049644,53.081406,6950703
2010-06-01,78.082008,79.950226,76.644913,76.711975,51.511673,9831416
2010-06-02,77.344299,78.493973,76.089241,78.417328,52.656822,7543880
2010-06-03,78.503555,79.921486,76.836525,79.442451,53.345169,7397438
2010-06-04,77.392204,78.340683,74.335983,75.13118,50.45018,8711133
2010-06-07,75.495239,77.076042,75.198242,75.437759,50.656044,6097730
2010-06-08,75.246147,76.932335,74.815018,76.73114,51.774399,5125872
2010-06-09,77.899971,78.522713,76.060493,76.616173,51.696838,5995962
2010-06-10,77.938293,80.141838,77.746681,79.988548,53.972328,5614149
2010-06-11,79.049644,81.540604,78.800552,81.444801,54.954971,5943043
2010-06-14,82.144188,83.542953,81.061577,81.157387,54.761013,6765641
2010-06-15,81.952576,83.408829,81.607674,83.102249,56.073303,5179522
2010-06-16,82.450768,84.098633,81.866348,83.427986,56.293129,4087421
2010-06-17,83.715408,83.93576,81.952576,82.987282,55.99575,4324462
2010-06-18,83.035187,83.878281,82.565735,83.332184,56.228477,5035272
2010-06-21,84.42437,85.114174,81.531029,82.201668,55.46566,6672432
2010-06-22,82.431602,82.728607,79.892738,80.151421,54.082245,5439004
2010-06-23,79.701134,81.090317,79.231682,80.295128,54.179207,4360159
2010-06-24,80.065193,80.467583,77.679619,78.043686,52.660046,5420425
2010-06-25,78.48439,79.222099,77.210167,78.302361,52.834595,9883291
2010-06-28,78.714325,79.030487,77.258072,77.516747,52.304493,3847248
2010-06-29,77.143105,77.143105,74.5755,75.226982,50.759491,6227680
2010-06-30,75.428177,76.156303,73.837791,73.914436,49.873844,6066834
2010-07-01,74.125214,74.786278,72.276154,73.531212,49.615242,6779210
2010-07-02,73.674927,74.556343,72.534828,73.167152,49.369598,3784309
2010-07-06,73.837791,75.121597,72.870155,73.770729,49.776855,5170232
2010-07-07,74.163536,76.280853,74.019829,76.242531,51.44471,5812884
2010-07-08,77.210167,77.852074,76.529945,77.516747,52.304493,4626530
2010-07-09,77.401779,78.062843,77.076042,77.708359,52.433792,4110384
2010-07-12,77.420944,78.35984,76.932335,77.516747,52.304493,2748676
2010-07-13,78.474808,79.202934,78.206551,78.848457,53.203068,3789841
2010-07-14,78.379005,79.222099,77.938293,78.628098,53.054382,2815060
2010-07-15,79.145454,79.202934,76.903587,78.656845,53.073769,3831800
2010-07-16,78.292778,78.292778,75.571884,76.050919,51.315426,5704958
2010-07-19,76.347916,77.06646,75.610207,76.185043,51.405937,3136020
2010-07-20,75.207825,77.765846,75.207825,77.555069,52.330345,3634423
2010-07-21,77.938293,78.436485,76.146721,76.692818,51.748547,4756689
2010-07-22,77.928719,79.164612,77.478424,78.676003,53.08672,4374041
2010-07-23,78.3311,78.723907,77.305977,78.695168,53.099632,4590624
2010-07-26,78.73349,79.691551,78.589775,79.442451,53.603863,4203071
2010-07-27,79.528679,79.528679,76.050919,76.587433,51.677444,6075915
2010-07-28,76.616173,77.123947,75.18866,75.571884,50.992207,4519648
2010-07-29,76.156303,76.4533,73.962341,74.431793,50.222904,6239475
2010-07-30,73.847374,75.102432,73.636604,74.661728,50.378067,3875117
2010-08-02,76.261688,77.497589,75.935951,76.826942,51.839058,4964713
2010-08-03,76.050919,76.54911,75.255722,75.370689,50.856426,5761530
2010-08-04,75.255722,76.223366,75.083275,75.485657,50.934029,5070865
2010-08-05,74.834175,75.073692,73.789894,74.345566,50.164745,5790756
2010-08-06,73.588699,74.115631,72.189926,73.12883,49.343746,6631621
2010-08-09,73.866539,74.173119,73.234215,73.722824,49.744537,4754497
2010-08-10,72.688118,74.862923,72.668961,74.546761,50.300503,6539351
2010-08-11,72.831825,73.770729,72.716866,73.138412,49.350212,6442280
2010-08-12,72.343216,74.010246,72.333633,73.253372,49.427776,4151926
2010-08-13,72.9468,73.579117,72.142029,72.228249,48.736065,3651436
2010-08-16,71.988731,72.831825,70.800735,72.716866,49.065758,4917952
2010-08-17,73.579117,73.914436,72.678535,73.607857,49.666965,3913319
2010-08-18,73.205475,73.320442,71.969574,72.448608,48.884766,4847810
2010-08-19,72.228249,72.525253,71.145638,72.228249,48.736065,4881211
2010-08-20,71.624672,72.621056,71.346832,71.912086,48.522739,5715709
2010-08-23,72.113281,73.18631,71.959991,72.400703,48.852436,5146643
2010-08-24,71.509705,72.103699,70.666611,70.915703,47.850422,5045501
2010-08-25,70.589966,70.589966,69.133713,69.842674,47.126396,6634648
2010-08-26,70.446259,71.011513,69.104973,69.200775,46.693283,4910228
