Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.139999,33.639999,32.889999,33.630001,20.419924,5130400
2010-01-05,33.650002,33.75,33.43,33.599998,20.401709,6568700
2010-01-06,33.630001,33.740002,33.169998,33.419998,20.292418,2972700
2010-01-07,33.290001,33.389999,32.880001,32.970001,20.019173,1923800
2010-01-08,32.790001,33.009998,32.619999,32.880001,19.964525,1764000
2010-01-11,32.849998,33.049999,32.610001,33.040001,20.061676,3397600
2010-01-12,32.48,33.150002,32.349998,32.830002,19.934168,4012200
2010-01-13,32.880001,33.259998,32.599998,33.049999,20.067743,2749100
2010-01-14,32.900002,32.98,32.650002,32.82,19.928097,2590000
2010-01-15,32.669998,32.889999,32.169998,32.619999,19.806664,3169700
2010-01-19,32.560001,32.939999,32.419998,32.919998,19.98881,2185300
2010-01-20,32.709999,32.709999,31.85,32.23,19.569851,3719400
2010-01-21,32.25,32.599998,31.52,31.75,19.2784,3204500
2010-01-22,31.68,31.809999,31.18,31.24,18.968729,3298800
2010-01-25,31.280001,31.620001,31.129999,31.440001,19.090168,2074900
2010-01-26,31.41,31.51,31.02,31.290001,18.999094,2382500
2010-01-27,31.209999,31.209999,30.389999,30.860001,18.737995,2649300
2010-01-28,30.91,30.93,30.32,30.57,18.561911,2994500
2010-01-29,30.83,30.98,30.51,30.59,18.574053,3138100
2010-02-01,30.73,30.82,30.459999,30.629999,18.598341,2192100
2010-02-02,30.65,30.950001,30.4,30.889999,18.756216,2553900
2010-02-03,30.700001,30.870001,30.440001,30.549999,18.549765,1914100
2010-02-04,30.32,30.4,29.6,29.639999,17.997219,2337500
2010-02-05,29.610001,29.74,29.01,29.52,17.924355,3041800
2010-02-08,29.49,30.030001,29.370001,29.48,17.90007,2157200
2010-02-09,29.74,30.23,29.6,29.889999,18.149015,3132400
2010-02-10,29.85,30.049999,29.389999,29.93,18.173311,3503200
2010-02-11,29.9,30.610001,29.58,30.530001,18.537622,5261500
2010-02-12,30.280001,30.35,29.9,30.17,18.319029,4165100
2010-02-16,30.42,30.84,30.41,30.76,18.677269,3017500
2010-02-17,30.92,31.120001,30.549999,30.74,18.665136,2219700
2010-02-18,30.66,31.07,30.530001,30.85,18.73193,3440400
2010-02-19,30.700001,31.200001,30.48,31.18,18.932297,2822900
2010-02-22,31.370001,31.370001,30.5,30.57,18.561911,2305800
2010-02-23,30.459999,30.57,29.959999,30.16,18.312962,3321100
2010-02-24,30.27,30.309999,29.76,30.17,18.319029,3771400
2010-02-25,29.799999,29.98,29.370001,29.92,18.167229,4217700
2010-02-26,29.870001,30.01,29.549999,29.719999,18.045792,2599600
2010-03-01,29.83,30.610001,29.83,30.440001,18.482975,2944500
2010-03-02,30.59,30.74,30.42,30.629999,18.598341,2401400
2010-03-03,30.66,30.74,30.5,30.57,18.561911,2356400
2010-03-04,30.690001,30.93,30.379999,30.9,18.762285,7348300
2010-03-05,31.49,31.49,30.959999,31.200001,18.944445,5039300
2010-03-08,30.719999,30.889999,30.33,30.709999,18.854198,2415200
2010-03-09,30.690001,30.75,30.5,30.549999,18.755964,2987200
2010-03-10,30.6,30.700001,30.290001,30.549999,18.755964,3263100
2010-03-11,30.43,30.709999,30.41,30.67,18.829634,2532000
2010-03-12,30.780001,30.91,30.52,30.57,18.768242,1916400
2010-03-15,30.52,30.85,30.52,30.85,18.940151,2157400
2010-03-16,30.92,31.18,30.74,31.129999,19.112047,2360100
2010-03-17,31.18,31.32,30.780001,30.959999,19.007681,3551500
2010-03-18,30.940001,31.200001,30.709999,30.99,19.0261,2269400
2010-03-19,30.92,31.34,30.65,30.92,18.983122,3569000
2010-03-22,30.799999,30.92,30.5,30.59,18.780523,2010200
2010-03-23,30.59,30.950001,30.360001,30.530001,18.743687,2770200
2010-03-24,30.450001,30.629999,30.07,30.09,18.473549,3384400
2010-03-25,30.09,30.209999,29.18,29.35,18.019239,5960600
