Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.832099,3.909136,3.808395,3.87358,3.192711,839363
2010-01-05,3.879506,3.885432,3.836049,3.853827,3.176432,701663
2010-01-06,3.845926,3.901235,3.845926,3.855802,3.178059,841388
2010-01-07,3.841975,3.889383,3.800494,3.885432,3.20248,536119
2010-01-08,3.871605,3.889383,3.849877,3.879506,3.197596,330581
2010-01-11,3.891358,3.891358,3.847901,3.87358,3.192711,466763
2010-01-12,3.843951,3.871605,3.830123,3.851852,3.174803,521438
2010-01-13,3.861728,3.901235,3.832099,3.897284,3.212249,385256
2010-01-14,3.913086,3.913086,3.867654,3.909136,3.222017,224269
2010-01-15,3.915062,3.920988,3.778765,3.820247,3.148753,887963
2010-01-19,3.794568,3.859753,3.790617,3.859753,3.181314,732544
2010-01-20,3.830123,3.832099,3.721481,3.77679,3.112935,748744
2010-01-21,3.788642,3.814321,3.685926,3.737284,3.080373,582188
2010-01-22,3.719506,3.770864,3.681975,3.693827,3.044554,683438
2010-01-25,3.707654,3.711605,3.64642,3.672099,3.026646,377663
2010-01-26,3.652346,3.678025,3.624691,3.630617,2.992455,463219
2010-01-27,3.668148,3.968395,3.666173,3.938765,3.246439,2176369
2010-01-28,3.952593,3.952593,3.766914,3.834074,3.16015,1029713
2010-01-29,3.836049,3.920988,3.836049,3.887407,3.204108,1010981
2010-02-01,3.885432,3.909136,3.851852,3.879506,3.197596,543713
2010-02-02,3.887407,3.915062,3.84,3.847901,3.171546,646988
2010-02-03,3.843951,3.881481,3.798519,3.863704,3.184572,758363
2010-02-04,3.849877,3.851852,3.786667,3.808395,3.138984,829238
2010-02-05,3.808395,3.843951,3.77284,3.838025,3.163407,737100
2010-02-08,3.836049,3.84,3.766914,3.77284,3.12415,717356
2010-02-09,3.798519,3.834074,3.770864,3.81037,3.155227,592819
2010-02-10,3.802469,3.812346,3.768889,3.792593,3.140507,490556
2010-02-11,3.774815,3.863704,3.757037,3.863704,3.199391,484481
