Date,Open,High,Low,Close,Adj Close,Volume
2011-10-13,23.5,24.27,23.0,24.25,20.726332,396800
2011-10-14,24.360001,25.49,24.360001,25.35,21.666496,402600
2011-10-17,25.5,25.799999,25.16,25.16,21.504103,583400
2011-10-18,25.059999,25.360001,24.9,25.24,21.572481,423500
2011-10-19,25.25,25.35,24.75,24.75,21.153675,722200
2011-10-20,24.799999,25.030001,24.33,24.75,21.153675,549700
2011-10-21,25.0,25.75,24.950001,25.540001,21.828888,1764500
2011-10-24,25.5,25.85,25.5,25.77,22.025465,371300
2011-10-25,25.879999,26.08,25.0,25.75,22.008369,546800
2011-10-26,26.09,26.09,24.860001,25.02,21.384449,657300
2011-10-27,25.25,25.950001,25.25,25.620001,21.897259,405400
2011-10-28,25.5,25.82,25.25,25.82,22.068199,584700
2011-10-31,26.25,26.74,25.25,26.74,22.854515,15106000
2011-11-01,25.6,28.280001,25.15,27.309999,23.341694,6095200
2011-11-02,27.4,27.4,25.790001,26.620001,22.751961,2476700
2011-11-03,26.940001,27.07,26.379999,26.389999,22.555374,1615000
2011-11-04,26.17,26.59,24.879999,25.190001,21.529737,1923300
2011-11-07,24.91,25.48,24.370001,24.6,21.025476,2703500
2011-11-08,25.1,25.35,24.76,24.940001,21.316069,2024100
2011-11-09,24.35,25.0,23.84,23.889999,20.418644,1570900
2011-11-10,24.48,24.709999,23.52,23.65,20.213518,1166000
2011-11-11,23.879999,24.09,23.629999,23.790001,20.333168,1266200
2011-11-14,23.58,24.1,23.49,23.93,20.540028,1339000
2011-11-15,23.940001,24.370001,23.82,23.99,20.59153,1657700
2011-11-16,23.950001,24.6,23.780001,24.120001,20.70311,1804600
2011-11-17,24.0,24.190001,23.66,23.85,20.471363,1279200
2011-11-18,23.879999,24.139999,23.719999,23.93,20.540028,1426200
2011-11-21,23.700001,23.809999,23.34,23.620001,20.273947,1282100
2011-11-22,25.02,26.139999,22.67,23.629999,20.282526,2126400
2011-11-23,23.27,23.75,22.879999,23.68,20.325449,1009700
2011-11-25,23.450001,23.450001,22.879999,23.0,19.741777,991100
2011-11-28,23.66,24.18,23.139999,23.49,20.162363,1567300
2011-11-29,23.51,23.6,23.17,23.27,19.973526,1222400
2011-11-30,24.059999,24.200001,23.33,23.9,20.514284,2320800
2011-12-01,23.809999,24.360001,23.65,24.27,20.831863,1046700
2011-12-02,25.48,25.48,24.219999,24.25,20.814697,1208900
2011-12-05,24.57,25.15,24.41,25.09,21.535702,930900
2011-12-06,25.02,25.07,24.51,24.83,21.312536,662800
2011-12-07,24.719999,24.83,23.860001,24.57,21.089365,951200
2011-12-08,24.450001,24.549999,23.799999,23.879999,20.497118,938700
2011-12-09,24.07,24.459999,23.959999,24.35,20.900541,549800
2011-12-12,23.950001,24.190001,23.24,23.92,20.531446,1213400
2011-12-13,24.02,24.450001,23.709999,23.85,20.471363,1652500
2011-12-14,23.6,23.6,22.93,23.41,20.093697,1736000
2011-12-15,23.549999,24.059999,23.440001,23.92,20.531446,1074900
2011-12-16,24.139999,24.940001,24.01,24.67,21.175201,2925700
2011-12-19,24.67,24.860001,24.15,24.25,20.814697,1107200
2011-12-20,24.59,24.719999,23.959999,24.309999,20.866198,1190000
2011-12-21,24.450001,25.030001,24.02,24.92,21.389791,2177400
2011-12-22,25.07,25.65,24.799999,24.83,21.312536,971100
2011-12-23,24.83,25.16,24.700001,24.91,21.381205,575000
2011-12-27,24.84,25.049999,24.469999,25.049999,21.501366,664400
2011-12-28,25.110001,25.76,25.110001,25.559999,21.939119,917700
2011-12-29,25.67,26.459999,25.5,25.950001,22.273874,3975200
2011-12-30,25.99,25.99,25.139999,25.690001,22.050711,1169700
2012-01-03,26.02,26.43,25.07,25.139999,21.578621,1059100
2012-01-04,25.07,26.07,24.84,25.969999,22.291039,1391900
2012-01-05,25.780001,25.809999,24.870001,25.6,21.973455,2270700
2012-01-06,25.540001,25.620001,25.120001,25.17,21.604366,524400
2012-01-09,25.16,25.42,24.82,25.27,21.690207,558700
2012-01-10,25.459999,25.700001,25.25,25.58,21.956284,1048300
2012-01-11,25.459999,26.26,25.389999,26.059999,22.368286,1066300
2012-01-12,26.08,26.139999,25.68,25.700001,22.059292,709300
2012-01-13,25.450001,25.68,25.34,25.629999,21.999207,886200
2012-01-17,25.9,26.280001,25.59,25.629999,21.999207,465400
2012-01-18,25.51,27.040001,25.43,26.99,23.166544,1453700
2012-01-19,27.0,27.290001,26.440001,26.620001,22.848955,838000
2012-01-20,26.620001,26.68,26.299999,26.360001,22.625792,1014900
2012-01-23,26.450001,26.6,25.559999,25.75,22.102207,842800
2012-01-24,25.690001,26.209999,25.6,26.139999,22.436958,761400
2012-01-25,26.040001,26.629999,25.82,26.6,22.831795,881800
2012-01-26,26.68,26.85,25.76,25.940001,22.265289,850000
2012-01-27,25.610001,25.98,25.610001,25.809999,22.153711,685900
2012-01-30,25.65,25.959999,25.5,25.92,22.248121,475300
2012-01-31,26.110001,26.25,25.65,25.91,22.239546,792700
2012-02-01,26.02,26.85,25.92,26.82,23.020632,816600
2012-02-02,26.860001,26.99,26.620001,26.65,22.87471,715200
2012-02-03,26.959999,27.08,26.57,27.030001,23.200882,719800
2012-02-06,26.9,27.120001,26.639999,26.780001,22.986292,655100
2012-02-07,26.700001,27.35,26.530001,27.219999,23.363958,963800
2012-02-08,27.16,27.389999,26.799999,27.389999,23.509876,737900
2012-02-09,27.35,27.4,26.91,27.129999,23.286713,721500
2012-02-10,26.959999,27.129999,26.83,27.07,23.23521,527300
2012-02-13,27.35,27.35,26.83,27.030001,23.200882,638900
2012-02-14,26.9,27.209999,26.82,26.92,23.106459,926400
2012-02-15,26.969999,27.110001,26.870001,27.0,23.175125,1071300
2012-02-16,27.02,27.32,26.959999,27.15,23.303881,639700
2012-02-17,27.26,27.629999,27.17,27.59,23.681549,583500
2012-02-21,27.66,28.120001,27.51,27.82,23.878967,753500
2012-02-22,27.66,28.059999,27.48,27.530001,23.630049,467500
2012-02-23,27.52,27.83,27.299999,27.780001,23.844631,335900
2012-02-24,27.889999,27.940001,27.24,27.26,23.3983,827900
2012-02-27,27.1,27.4,26.870001,27.360001,23.484135,1429000
2012-02-28,27.24,27.24,26.120001,26.84,23.037798,3443900
2012-02-29,26.76,26.950001,25.91,25.98,22.299625,4339600
2012-03-01,26.030001,26.73,25.790001,26.690001,22.998455,1801400
2012-03-02,26.370001,26.950001,26.370001,26.6,22.920906,1594900
2012-03-05,26.6,26.700001,26.040001,26.219999,22.593462,1339800
2012-03-06,25.950001,26.02,25.389999,25.85,22.274632,1334200
2012-03-07,26.09,26.299999,25.74,26.209999,22.584845,933200
2012-03-08,26.299999,26.700001,25.969999,26.620001,22.938135,894800
2012-03-09,26.57,27.360001,26.530001,27.25,23.480991,719500
2012-03-12,27.379999,27.629999,27.26,27.530001,23.722271,879800
2012-03-13,27.639999,28.440001,27.639999,28.42,24.489172,861600
2012-03-14,28.41,28.48,28.200001,28.360001,24.437462,1183100
2012-03-15,28.389999,28.84,28.059999,28.73,24.756292,689200
2012-03-16,28.74,28.870001,28.17,28.190001,24.290987,903100
2012-03-19,28.209999,28.5,27.879999,27.940001,24.075563,796500
2012-03-20,27.85,27.92,27.08,27.309999,23.5327,993200
2012-03-21,27.299999,27.559999,27.25,27.33,23.549932,872000
2012-03-22,27.120001,27.370001,26.98,27.219999,23.455141,665800
2012-03-23,27.370001,27.370001,27.059999,27.200001,23.437922,519500
2012-03-26,27.370001,27.860001,27.370001,27.85,23.998009,642100
2012-03-27,27.92,28.02,27.610001,27.99,24.118645,601000
2012-03-28,27.959999,28.110001,27.540001,27.959999,24.092796,918000
2012-03-29,27.809999,27.809999,27.25,27.66,23.83429,855500
2012-03-30,27.83,27.860001,27.4,27.75,23.91184,1310900
2012-04-02,27.709999,28.35,27.700001,28.32,24.403008,817100
2012-04-03,28.33,28.549999,27.93,28.25,24.34269,1034300
2012-04-04,27.91,27.940001,27.58,27.799999,23.954927,1070400
2012-04-05,27.75,28.23,27.75,27.969999,24.101414,477500
2012-04-09,27.469999,27.549999,27.200001,27.360001,23.575785,495500
2012-04-10,27.24,27.34,26.58,26.940001,23.213875,909900
2012-04-11,27.190001,27.299999,26.83,27.0,23.265575,810200
2012-04-12,26.91,27.389999,26.870001,27.32,23.541321,646500
2012-04-13,27.1,27.209999,26.790001,26.83,23.119093,492700
2012-04-16,27.110001,27.299999,26.5,26.9,23.179403,850400
2012-04-17,27.290001,27.309999,26.85,27.200001,23.437922,540600
2012-04-18,27.120001,27.73,27.040001,27.65,23.825674,1118700
2012-04-19,27.610001,27.969999,26.9,27.1,23.351749,1061300
2012-04-20,27.18,27.639999,27.07,27.360001,23.575785,807500
2012-04-23,27.059999,27.059999,26.52,26.889999,23.17079,556500
2012-04-24,26.950001,27.5,26.9,27.1,23.351749,518100
2012-04-25,27.34,27.809999,27.34,27.700001,23.868765,569600
2012-04-26,27.639999,28.1,27.629999,28.1,24.213436,459100
2012-04-27,28.139999,28.52,28.139999,28.379999,24.4547,642700
2012-04-30,28.32,28.32,27.809999,27.879999,24.023859,364000
2012-05-01,27.91,28.32,27.58,27.66,23.83429,638900
2012-05-02,27.450001,27.950001,27.4,27.76,23.920458,835000
2012-05-03,27.690001,27.719999,27.049999,27.299999,23.524076,990000
2012-05-04,27.299999,27.299999,26.450001,26.450001,22.791649,870000
2012-05-07,26.389999,26.639999,26.129999,26.209999,22.584845,995000
2012-05-08,26.1,26.440001,25.65,26.360001,22.714094,925900
2012-05-09,25.91,26.389999,25.610001,26.129999,22.515909,923400
2012-05-10,26.299999,26.559999,26.049999,26.139999,22.524521,701500
2012-05-11,26.0,26.469999,25.92,26.030001,22.429741,625800
2012-05-14,25.83,26.049999,25.43,25.43,21.912725,567200
2012-05-15,25.379999,25.57,25.17,25.209999,21.72315,565500
2012-05-16,25.43,25.76,25.299999,25.370001,21.861025,1045000
2012-05-17,25.34,25.360001,24.42,24.42,21.126526,1455900
2012-05-18,24.42,24.870001,24.42,24.67,21.342808,994800
2012-05-21,24.780001,25.51,24.690001,25.34,21.922447,1096700
2012-05-22,25.469999,25.85,25.370001,25.59,22.138735,957900
2012-05-23,25.360001,25.790001,24.83,25.790001,22.311758,1252500
2012-05-24,25.940001,26.139999,25.77,26.139999,22.614557,528800
2012-05-25,26.190001,26.309999,25.610001,25.65,22.190639,677800
2012-05-29,25.790001,26.34,25.74,25.889999,22.39827,801000
2012-05-30,25.459999,25.84,25.27,25.450001,22.017609,591900
