Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.025,9.045,8.93,9.005,7.710995,1437600
2010-01-05,8.975,8.995,8.85,8.94,7.655334,1702000
2010-01-06,8.915,8.955,8.815,8.86,7.586829,2378800
2010-01-07,8.87,8.905,8.8,8.865,7.59111,2139000
2010-01-08,8.855,8.855,8.78,8.82,7.552578,1130600
2010-01-11,8.875,8.885,8.83,8.855,7.582549,1508000
2010-01-12,8.835,8.89,8.82,8.865,7.59111,1689800
2010-01-13,8.865,8.93,8.825,8.92,7.638207,3457200
2010-01-14,8.88,8.96,8.87,8.955,7.668178,1750600
2010-01-15,8.945,8.95,8.87,8.885,7.608239,1550400
2010-01-19,8.855,8.93,8.855,8.93,7.646772,1637600
2010-01-20,8.86,8.91,8.83,8.9,7.621081,1729800
2010-01-21,8.9,8.995,8.855,8.965,7.676743,2212000
2010-01-22,8.98,9.05,8.905,8.945,7.659614,1976800
2010-01-25,9.015,9.015,8.905,8.945,7.659614,1282800
2010-01-26,8.955,9.005,8.905,8.91,7.629646,1137600
2010-01-27,8.925,8.975,8.815,8.905,7.625363,2099600
2010-01-28,8.94,8.94,8.745,8.81,7.544016,2052800
2010-01-29,8.815,8.85,8.8,8.8,7.535451,1377800
2010-02-01,8.8,8.845,8.78,8.805,7.573294,1481400
2010-02-02,8.795,8.875,8.79,8.875,7.633505,885400
2010-02-03,8.855,8.94,8.825,8.92,7.672209,1400200
2010-02-04,8.895,9.005,8.825,8.925,7.67651,1782800
2010-02-05,8.91,8.975,8.83,8.88,7.637805,2188000
2010-02-08,8.88,8.985,8.805,8.88,7.637805,1778000
2010-02-09,8.935,8.96,8.85,8.875,7.633505,1578600
2010-02-10,8.845,8.865,8.79,8.845,7.607702,1378400
2010-02-11,8.84,8.88,8.79,8.845,7.607702,1651800
2010-02-12,8.79,8.86,8.785,8.85,7.612001,1315600
2010-02-16,8.775,8.775,8.245,8.28,7.121735,5131600
2010-02-17,8.27,8.325,8.16,8.27,7.113135,4062200
2010-02-18,8.25,8.29,8.215,8.25,7.095932,2687600
2010-02-19,8.325,8.4,8.2,8.36,7.190545,5149000
2010-02-22,8.375,8.39,8.33,8.375,7.203448,2836400
2010-02-23,8.365,8.475,8.335,8.41,7.233549,1874600
2010-02-24,8.41,8.485,8.38,8.475,7.289458,1293000
2010-02-25,8.41,8.485,8.395,8.445,7.263654,1240800
2010-02-26,8.44,8.47,8.32,8.39,7.216352,2304800
2010-03-01,8.4,8.505,8.37,8.42,7.242152,1357000
2010-03-02,8.415,8.46,8.365,8.46,7.276557,753400
2010-03-03,8.47,8.555,8.435,8.54,7.345365,1467200
2010-03-04,8.565,8.615,8.475,8.59,7.388369,1504000
2010-03-05,8.615,8.695,8.57,8.68,7.465784,2119800
2010-03-08,8.65,8.71,8.615,8.655,7.444282,1013800
2010-03-09,8.615,8.75,8.575,8.72,7.500186,1502000
2010-03-10,8.69,8.775,8.605,8.775,7.547493,1481600
2010-03-11,8.725,8.865,8.7,8.84,7.603401,1568000
2010-03-12,8.855,8.895,8.76,8.835,7.5991,1374200
2010-03-15,8.84,8.865,8.765,8.85,7.612001,1238800
2010-03-16,8.835,8.88,8.81,8.87,7.629203,459600
2010-03-17,8.91,8.965,8.79,8.94,7.689413,700400
2010-03-18,8.92,8.975,8.875,8.965,7.710916,945800
2010-03-19,8.99,8.995,8.78,8.99,7.732418,1768200
2010-03-22,8.965,9.03,8.905,8.955,7.702314,681200
2010-03-23,8.965,9.0,8.885,9.0,7.741017,889600
2010-03-24,8.97,9.035,8.94,8.98,7.723814,746600
2010-03-25,9.0,9.05,8.93,8.93,7.680812,1067200
2010-03-26,8.93,8.985,8.89,8.905,7.659306,1091000
2010-03-29,8.92,8.95,8.86,8.915,7.667908,1406200
2010-03-30,8.935,9.0,8.865,8.99,7.732418,998000
2010-03-31,8.96,9.03,8.925,8.96,7.706617,963000
2010-04-01,8.965,8.995,8.825,8.865,7.624904,806200
2010-04-05,8.87,8.915,8.83,8.895,7.650706,938200
2010-04-06,8.825,8.955,8.825,8.955,7.702314,986800
2010-04-07,8.92,8.995,8.89,8.995,7.736718,1141600
