Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.15,29.15,28.549999,28.67,21.122952,13120900
2010-01-05,28.73,28.99,28.290001,28.879999,21.277666,15594300
2010-01-06,28.879999,29.0,28.700001,28.780001,21.203997,8833200
2010-01-07,28.860001,29.219999,28.73,29.120001,21.454496,12058200
2010-01-08,29.0,29.24,28.690001,28.98,21.351343,15609800
2010-01-11,29.0,29.02,28.08,28.16,20.747202,23670500
2010-01-12,28.15,28.35,27.889999,27.98,20.614588,23075800
2010-01-13,28.0,28.25,28.0,28.129999,20.725101,15639100
2010-01-14,28.120001,28.440001,28.120001,28.299999,20.850353,13208200
2010-01-15,28.309999,28.690001,28.0,28.57,21.049273,23013500
2010-01-19,28.459999,28.950001,28.35,28.879999,21.277666,14170100
2010-01-20,28.700001,28.84,28.35,28.66,21.115582,13256400
2010-01-21,28.629999,29.059999,28.32,28.48,20.982964,18900600
2010-01-22,28.24,28.549999,27.68,27.719999,20.423025,16696600
2010-01-25,27.950001,27.950001,27.51,27.620001,20.349356,11098400
2010-01-26,27.5,27.950001,27.5,27.73,20.430399,13275800
2010-01-27,27.620001,27.92,27.49,27.84,20.511436,12821800
2010-01-28,27.93,27.950001,27.190001,27.34,20.143061,19430400
2010-01-29,27.57,28.09,27.379999,28.01,20.636696,22453800
2010-02-01,28.01,28.450001,27.91,28.389999,20.916658,17172100
2010-02-02,28.389999,29.049999,28.299999,29.030001,21.388187,19640800
2010-02-03,28.940001,28.940001,28.26,28.469999,20.975603,19437300
2010-02-04,28.24,28.530001,27.84,27.93,20.577745,19813600
2010-02-05,27.85,28.07,27.530001,27.98,20.614588,20229400
2010-02-08,28.530001,28.940001,28.469999,28.59,21.064009,26005400
2010-02-09,28.870001,29.09,28.57,28.870001,21.270306,18057700
2010-02-10,28.84,28.959999,28.4,28.65,21.108221,14481500
2010-02-11,28.709999,29.07,28.540001,28.99,21.358715,14614200
2010-02-12,28.75,29.0,28.549999,29.0,21.366083,15027700
2010-02-16,29.120001,29.5,28.93,29.440001,21.690264,13317200
2010-02-17,29.76,30.059999,29.75,30.02,22.117579,21524600
2010-02-18,30.02,30.379999,29.870001,30.299999,22.32387,16564800
2010-02-19,30.209999,30.450001,30.0,30.15,22.213364,18576300
2010-02-22,30.4,30.549999,30.200001,30.32,22.338617,16101000
2010-02-23,30.559999,31.030001,30.35,30.75,22.655418,35770100
2010-02-24,30.780001,31.42,30.74,31.360001,23.104843,22937500
2010-02-25,31.07,31.450001,30.99,31.360001,23.104843,15049200
2010-02-26,31.360001,31.360001,30.950001,31.200001,22.986958,13879200
2010-03-01,31.24,31.549999,31.09,31.43,23.156412,14182000
2010-03-02,31.389999,31.58,31.27,31.360001,23.104843,15189500
2010-03-03,31.43,31.809999,31.32,31.469999,23.185886,13900900
2010-03-04,31.540001,31.58,31.299999,31.440001,23.163782,13777600
2010-03-05,31.549999,31.91,31.49,31.799999,23.429012,18768700
2010-03-08,31.68,32.040001,31.68,31.959999,23.5469,11048000
2010-03-09,31.700001,31.950001,31.67,31.68,23.51424,15127700
2010-03-10,31.59,31.879999,31.450001,31.709999,23.53651,10532400
2010-03-11,31.58,32.220001,31.52,32.130001,23.848249,15316800
2010-03-12,32.23,32.599998,32.119999,32.450001,24.085766,14953600
2010-03-15,32.490002,32.709999,32.279999,32.689999,24.26391,12049100
2010-03-16,32.610001,32.810001,32.349998,32.549999,24.15999,13690400
2010-03-17,32.490002,32.639999,32.34,32.52,24.137728,14730700
2010-03-18,32.450001,32.560001,32.23,32.400002,24.048658,17763500
2010-03-19,32.360001,32.57,32.099998,32.360001,24.018961,22430600
2010-03-22,32.139999,32.790001,32.139999,32.669998,24.249056,11737300
2010-03-23,32.59,32.630001,32.27,32.59,24.189678,11511400
2010-03-24,32.439999,32.599998,32.240002,32.32,23.989273,11804400
2010-03-25,32.5,32.919998,32.459999,32.619999,24.211948,12956600
2010-03-26,32.669998,32.98,32.630001,32.75,24.308437,12346300
2010-03-29,32.779999,32.889999,32.5,32.599998,24.197092,8929400
2010-03-30,32.560001,32.880001,32.5,32.689999,24.26391,8666400
2010-03-31,32.540001,32.639999,32.200001,32.349998,24.011543,10342100
2010-04-01,32.41,32.630001,32.16,32.380001,24.03381,9432500
2010-04-05,32.349998,32.740002,32.16,32.66,24.24164,11381200
2010-04-06,32.619999,32.73,32.419998,32.549999,24.15999,9399600
2010-04-07,32.5,32.720001,32.380001,32.610001,24.204523,11070100
2010-04-08,32.459999,33.080002,32.400002,32.970001,24.471737,13825000
2010-04-09,33.029999,33.400002,32.84,33.25,24.67956,13060700
2010-04-12,33.220001,33.57,33.139999,33.48,24.850277,12251500
2010-04-13,33.41,34.619999,33.41,34.34,25.488609,30322500
2010-04-14,34.32,35.07,34.299999,34.98,25.963638,24720700
2010-04-15,34.939999,35.150002,34.740002,35.139999,26.082409,17975700
2010-04-16,34.990002,35.080002,34.709999,35.009998,25.985907,28512200
2010-04-19,34.919998,35.27,34.740002,35.169998,26.104662,17571800
2010-04-20,35.32,35.490002,35.009998,35.18,26.112082,14848400
2010-04-21,35.150002,35.439999,35.09,35.27,26.17889,19597400
2010-04-22,35.150002,35.889999,35.029999,35.720001,26.512905,21648900
2010-04-23,35.759998,36.439999,35.700001,36.389999,27.010208,21336400
2010-04-26,36.52,37.029999,36.459999,36.490002,27.084425,22057300
2010-04-27,36.380001,36.380001,35.209999,35.290001,26.193735,20588400
2010-04-28,35.43,35.650002,35.029999,35.189999,26.119509,19371600
2010-04-29,35.450001,35.959999,35.400002,35.560001,26.394142,16263800
2010-04-30,35.700001,35.990002,35.23,35.23,26.149195,15800700
2010-05-03,35.389999,36.060001,35.169998,35.869999,26.624235,12644500
2010-05-04,35.560001,35.59,34.790001,35.419998,26.290222,25531100
2010-05-05,35.23,35.669998,35.029999,35.240002,26.156628,24373800
2010-05-06,34.919998,35.380001,32.07,33.959999,25.206551,31183100
2010-05-07,33.740002,34.32,32.630001,33.43,24.813164,28620700
2010-05-10,34.639999,35.400002,34.580002,35.290001,26.193735,21683400
2010-05-11,35.130001,35.959999,35.07,35.630001,26.4461,26625400
2010-05-12,35.669998,35.939999,35.380001,35.889999,26.639076,19130600
2010-05-13,35.849998,36.0,35.119999,35.27,26.17889,20229800
2010-05-14,35.259998,35.470001,34.759998,35.200001,26.126932,22621300
2010-05-17,34.970001,35.689999,34.080002,35.59,26.416409,33494400
