Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.4,23.860001,23.24,23.85,20.192333,493100
2010-01-05,23.799999,23.879999,23.34,23.469999,19.870607,344300
2010-01-06,23.52,23.540001,23.33,23.43,19.83674,288000
2010-01-07,23.370001,23.43,23.15,23.41,19.819811,279300
2010-01-08,23.41,23.41,23.049999,23.200001,19.64201,245500
2010-01-11,23.18,23.219999,22.879999,23.02,19.489626,222200
2010-01-12,22.889999,23.049999,22.690001,22.92,19.404966,325500
2010-01-13,23.049999,23.35,22.93,23.25,19.684349,316200
2010-01-14,23.120001,23.469999,23.120001,23.43,19.83674,173000
2010-01-15,23.540001,23.540001,23.01,23.200001,19.64201,517800
2010-01-19,23.15,23.549999,23.120001,23.52,19.912949,335000
2010-01-20,23.32,23.35,22.809999,23.17,19.616615,306000
2010-01-21,23.25,23.360001,22.65,22.889999,19.379566,402300
2010-01-22,22.92,23.049999,22.389999,22.440001,18.998583,376500
2010-01-25,22.57,22.610001,22.25,22.379999,18.947775,273300
2010-01-26,22.32,22.43,22.139999,22.17,18.769981,424800
2010-01-27,22.030001,22.370001,22.030001,22.26,18.846176,569100
2010-01-28,22.23,22.23,21.65,21.85,18.499054,525400
2010-01-29,21.91,22.139999,21.879999,21.959999,18.592186,749600
2010-02-01,22.02,22.540001,21.950001,22.5,19.04937,733100
2010-02-02,22.469999,23.059999,22.280001,22.76,19.269489,853100
2010-02-03,22.77,23.74,22.32,22.610001,19.142502,833200
2010-02-04,22.51,22.51,21.959999,22.049999,18.668385,652000
2010-02-05,22.01,22.08,21.360001,21.75,18.414394,675500
2010-02-08,21.73,21.73,21.4,21.440001,18.151934,495500
2010-02-09,21.709999,21.82,21.4,21.48,18.185804,606200
2010-02-10,21.370001,21.52,21.030001,21.309999,18.041874,534200
2010-02-11,21.209999,21.629999,21.01,21.59,18.278929,380000
2010-02-12,21.379999,21.59,21.32,21.58,18.270464,398000
2010-02-16,22.98,22.98,21.950001,22.190001,18.786915,765200
2010-02-17,22.18,22.52,22.129999,22.52,19.066303,483900
2010-02-18,22.58,22.709999,22.41,22.709999,19.227158,356700
2010-02-19,22.74,22.860001,22.49,22.67,19.193298,551600
2010-02-22,22.67,22.77,22.389999,22.6,19.214554,991500
2010-02-23,22.469999,22.639999,22.26,22.450001,19.087027,623400
2010-02-24,22.58,22.68,22.370001,22.67,19.274071,447700
2010-02-25,22.33,22.6,22.190001,22.58,19.197556,469200
2010-02-26,22.65,22.709999,22.370001,22.58,19.197556,561100
2010-03-01,22.700001,23.15,22.690001,23.040001,19.58864,640200
2010-03-02,22.99,23.25,22.99,23.200001,19.72468,521000
2010-03-03,23.25,23.35,23.049999,23.129999,19.665157,394600
2010-03-04,23.23,23.469999,23.02,23.42,19.91172,502100
2010-03-05,23.459999,23.700001,23.42,23.700001,20.14978,525300
2010-03-08,23.610001,23.700001,23.5,23.59,20.05625,483900
2010-03-09,23.549999,23.75,23.459999,23.549999,20.022245,419000
2010-03-10,23.469999,23.73,23.389999,23.57,20.039246,432800
2010-03-11,23.370001,23.67,23.35,23.67,20.124273,570700
2010-03-12,23.66,23.83,23.49,23.83,20.260296,655300
2010-03-15,23.530001,23.950001,23.51,23.950001,20.362328,848900
2010-03-16,23.9,24.559999,23.82,24.549999,20.872446,1182300
2010-03-17,24.65,24.790001,24.450001,24.76,21.050983,866000
2010-03-18,24.620001,24.77,24.450001,24.58,20.897951,763400
2010-03-19,24.76,24.879999,24.4,24.49,20.82144,847100
2010-03-22,24.41,24.790001,24.299999,24.719999,21.016987,520500
2010-03-23,24.799999,24.82,24.549999,24.799999,21.084991,541300
2010-03-24,24.75,24.83,24.299999,24.299999,20.659897,451400
2010-03-25,24.549999,24.719999,24.219999,24.24,20.608881,417800
2010-03-26,24.280001,24.43,24.09,24.18,20.557871,442200
2010-03-29,24.18,24.360001,24.07,24.290001,20.651394,412700
2010-03-30,24.370001,24.469999,24.110001,24.209999,20.583378,352200
2010-03-31,24.08,24.25,24.02,24.059999,20.455853,462300
2010-04-01,24.23,24.360001,24.129999,24.35,20.70241,425800
2010-04-05,24.48,24.74,24.33,24.74,21.033993,416100
2010-04-06,24.559999,24.790001,24.530001,24.74,21.033993,666700
