Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,64.709999,64.989998,64.410004,64.68,43.962322,9506200
2010-01-05,64.580002,64.620003,63.82,63.93,43.452557,10673100
2010-01-06,63.900002,64.540001,63.830002,64.449997,43.806004,13171500
2010-01-07,64.25,64.349998,63.740002,63.990002,43.493343,10901600
2010-01-08,63.919998,64.260002,63.630001,64.209999,43.642887,7898000
2010-01-11,64.75,64.75,64.010002,64.220001,43.64967,7975700
2010-01-12,64.129997,64.720001,64.019997,64.559998,43.88076,10820700
2010-01-13,64.540001,65.230003,64.540001,64.970001,44.159447,13023800
2010-01-14,65.199997,65.269997,64.75,65.099998,44.247803,7899000
2010-01-15,65.139999,65.199997,63.98,64.559998,43.88076,20995000
2010-01-19,64.139999,65.75,64.110001,65.349998,44.417717,15181800
2010-01-20,65.470001,65.949997,64.470001,65.150002,44.281784,13033000
2010-01-21,65.07,65.470001,63.799999,63.970001,43.479744,14473900
2010-01-22,63.91,64.190002,63.09,63.200001,42.956383,14017200
2010-01-25,63.669998,63.700001,63.049999,63.220001,42.969971,10001700
2010-01-26,62.639999,63.009998,62.220001,62.790001,42.677723,15630300
2010-01-27,62.779999,63.720001,62.700001,63.439999,43.119514,14982400
2010-01-28,63.57,64.07,63.040001,63.799999,43.364201,17096000
2010-01-29,63.950001,64.269997,62.82,62.860001,42.725304,17844400
2010-02-01,63.259998,63.259998,62.77,63.09,42.881622,10153400
2010-02-02,63.200001,64.199997,62.630001,63.990002,43.493343,13609300
2010-02-03,63.869999,63.869999,63.290001,63.630001,43.248661,9255900
2010-02-04,63.490002,63.619999,62.619999,62.639999,42.57576,18397000
2010-02-05,62.689999,63.599998,61.889999,62.639999,42.57576,16775200
2010-02-08,62.5,62.98,62.259998,62.369999,42.392262,10081200
2010-02-09,62.549999,63.470001,62.470001,62.759998,42.657322,11356400
2010-02-10,62.790001,63.07,62.209999,62.73,42.636936,10115800
2010-02-11,62.619999,63.209999,62.259998,62.91,42.759274,8353600
2010-02-12,62.610001,63.0,62.110001,62.720001,42.630127,12335800
2010-02-16,63.25,63.709999,62.82,63.610001,43.235062,10212400
2010-02-17,63.630001,64.360001,63.610001,63.98,43.486534,9485500
2010-02-18,63.98,64.699997,63.950001,64.529999,43.860374,8260600
2010-02-19,64.150002,64.459999,63.619999,63.810001,43.702843,14222300
2010-02-22,63.810001,64.099998,63.389999,63.490002,43.483688,9839700
2010-02-23,63.560001,63.849998,63.23,63.310001,43.360409,12481400
2010-02-24,63.549999,63.849998,63.25,63.450001,43.456299,8519300
2010-02-25,62.790001,63.349998,62.52,63.279999,43.339848,10528900
2010-02-26,63.459999,63.59,63.0,63.0,43.14809,9357800
2010-03-01,63.27,63.459999,63.169998,63.389999,43.415195,9219400
