Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.66,5.97,5.65,5.94,4.164575,14901600
2010-01-05,5.88,6.19,5.88,6.17,4.32583,16660800
2010-01-06,6.17,6.2,6.06,6.13,4.297785,11785800
2010-01-07,6.07,6.48,6.04,6.39,4.480073,25554700
2010-01-08,6.35,6.56,6.34,6.5,4.557195,16513200
2010-01-11,6.5,6.6,6.39,6.53,4.578229,14836600
2010-01-12,6.46,6.55,6.36,6.41,4.494096,20207300
2010-01-13,6.44,6.63,6.29,6.49,4.550183,16226500
2010-01-14,6.44,6.89,6.44,6.85,4.802583,24101200
2010-01-15,6.79,6.94,6.51,6.88,4.823616,29510700
2010-01-19,6.82,6.87,6.69,6.76,4.739483,17897800
2010-01-20,6.68,6.99,6.68,6.96,4.879705,20676700
2010-01-21,7.36,7.75,7.3,7.34,5.146125,57005100
2010-01-22,7.16,7.49,6.74,7.25,5.083025,27104500
2010-01-25,7.43,7.48,6.88,7.06,4.949815,29787100
2010-01-26,7.1,7.21,6.88,6.89,4.830627,36998500
2010-01-27,6.87,7.26,6.84,7.15,5.012916,23381300
2010-01-28,7.26,7.48,7.2,7.27,5.097047,27513800
2010-01-29,7.33,7.49,7.14,7.18,5.033948,17818300
2010-02-01,7.23,7.37,7.13,7.34,5.146125,17914300
2010-02-02,7.28,7.54,7.28,7.52,5.272324,29768900
2010-02-03,7.47,7.47,7.24,7.41,5.195202,30732000
2010-02-04,7.29,7.35,6.94,6.95,4.872694,30016100
2010-02-05,6.94,7.04,6.63,6.89,4.830627,35451500
2010-02-08,6.91,6.99,6.66,6.82,4.781549,25541600
2010-02-09,6.93,7.03,6.84,6.92,4.851662,12635000
2010-02-10,6.79,7.0,6.74,6.88,4.823616,24267300
2010-02-11,6.88,6.93,6.8,6.87,4.816604,9413300
2010-02-12,6.78,6.82,6.68,6.79,4.760516,9090700
2010-02-16,6.86,6.96,6.85,6.92,4.851662,9443500
2010-02-17,6.96,6.97,6.78,6.83,4.788561,12498800
2010-02-18,6.8,6.82,6.68,6.74,4.725461,14011800
2010-02-19,6.7,6.83,6.7,6.79,4.760516,10628800
2010-02-22,6.78,6.99,6.78,6.97,4.886715,20247300
2010-02-23,6.93,6.95,6.71,6.74,4.725461,11928800
2010-02-24,6.77,7.12,6.76,7.11,4.984872,19088100
2010-02-25,6.95,7.02,6.78,6.99,4.900738,15527600
2010-02-26,7.0,7.18,6.96,7.15,5.020096,14077600
2010-03-01,7.16,7.21,6.9,6.97,4.893716,9943000
2010-03-02,6.97,7.14,6.97,7.04,4.942863,7789700
2010-03-03,7.04,7.13,6.98,7.04,4.942863,9324200
2010-03-04,7.07,7.17,7.0,7.1,4.984992,6691200
2010-03-05,7.17,7.26,7.11,7.25,5.090308,10951200
2010-03-08,7.21,7.35,7.19,7.27,5.10435,8176000
2010-03-09,7.22,7.34,7.08,7.26,5.097329,12701800
2010-03-10,7.35,7.69,7.3,7.56,5.307961,20269700
2010-03-11,7.6,7.9,7.54,7.88,5.53264,17572600
2010-03-12,8.06,8.19,7.47,7.55,5.300942,31948000
2010-03-15,7.54,7.57,7.3,7.57,5.314983,25890100
2010-03-16,7.61,7.72,7.47,7.7,5.406257,17002300
2010-03-17,7.76,8.02,7.72,7.9,5.546682,17953400
2010-03-18,7.82,7.82,7.5,7.56,5.307961,19632900
2010-03-19,7.6,7.67,7.47,7.6,5.336046,15160600
2010-03-22,7.5,7.73,7.41,7.64,5.36413,14027000
2010-03-23,7.64,7.71,7.59,7.69,5.399236,11010000
2010-03-24,7.67,8.0,7.66,7.9,5.546682,20819900
2010-03-25,8.03,8.12,7.89,7.93,5.567744,23956200
2010-03-26,7.98,8.02,7.71,7.86,5.518596,17553600
2010-03-29,7.89,7.93,7.59,7.72,5.4203,17037000
2010-03-30,7.72,7.8,7.65,7.76,5.448385,11073300
2010-03-31,7.68,7.85,7.67,7.75,5.441363,6360200
2010-04-01,7.81,7.88,7.72,7.8,5.47647,10153600
2010-04-05,7.88,8.17,7.79,8.16,5.72923,16163200
2010-04-06,8.13,8.6,8.1,8.47,5.946886,30550000
2010-04-07,8.97,8.97,8.51,8.52,5.981992,51481600
2010-04-08,8.27,8.4,8.02,8.34,5.855608,37575600
2010-04-09,8.42,8.44,8.25,8.35,5.862629,13399100
2010-04-12,8.41,8.42,8.27,8.34,5.855608,11614600
2010-04-13,8.09,8.24,7.89,8.14,5.715187,31228500
2010-04-14,8.24,8.57,8.22,8.52,5.981992,20911200
2010-04-15,8.54,8.57,8.28,8.35,5.862629,17960900
2010-04-16,8.32,8.33,7.85,8.0,5.616891,36335700
2010-04-19,7.94,8.21,7.89,8.13,5.708167,30415000
2010-04-20,8.19,8.74,8.14,8.58,6.024117,33602000
2010-04-21,8.81,9.84,8.78,8.94,6.276875,75415100
2010-04-22,8.68,9.18,8.57,9.12,6.403255,30510000
2010-04-23,9.16,9.27,8.78,9.19,6.452406,30169000
2010-04-26,9.23,9.25,8.75,8.8,6.178581,24597600
2010-04-27,8.74,8.85,8.46,8.62,6.052201,28290200
2010-04-28,8.81,8.98,8.61,8.71,6.115391,28467800
2010-04-29,8.82,9.12,8.77,8.96,6.290919,17909200
2010-04-30,8.98,9.1,8.82,9.02,6.333045,23067400
2010-05-03,9.09,9.18,8.81,8.99,6.31198,15413300
2010-05-04,8.96,8.96,8.55,8.64,6.066245,21842800
2010-05-05,8.5,8.79,8.35,8.54,5.996033,18498000
2010-05-06,8.52,8.57,7.47,7.97,5.595829,42021000
2010-05-07,7.96,8.2,7.79,7.88,5.53264,33996000
2010-05-10,8.29,8.48,8.06,8.35,5.862629,24683700
2010-05-11,8.15,8.76,8.13,8.58,6.024117,29700300
2010-05-12,8.71,8.78,8.56,8.73,6.129433,13109900
2010-05-13,8.7,8.91,8.63,8.68,6.094327,16611700
2010-05-14,8.54,8.56,8.22,8.43,5.918799,23588900
2010-05-17,8.44,8.5,7.95,8.26,5.799442,19949000
2010-05-18,8.4,8.42,7.76,7.87,5.525618,21731700
2010-05-19,7.81,7.98,7.63,7.79,5.469449,16610200
2010-05-20,7.63,7.74,7.31,7.47,5.244772,22706800
2010-05-21,7.35,7.92,7.27,7.87,5.525618,20656500
2010-05-24,7.89,7.9,7.47,7.5,5.265834,11821500
2010-05-25,7.26,7.84,7.17,7.79,5.469449,24621000
2010-05-26,7.96,8.0,7.65,7.71,5.413279,10349700
2010-05-27,7.88,8.2,7.73,8.2,5.76479,18403500
2010-05-28,8.19,8.23,7.94,8.02,5.638247,10934300
2010-06-01,8.05,8.19,7.89,7.89,5.546854,15975300
2010-06-02,7.95,8.24,7.9,8.24,5.792912,13023900
2010-06-03,8.37,8.45,8.12,8.17,5.743701,11643400
2010-06-04,7.93,8.05,7.72,7.77,5.462492,16323800
2010-06-07,7.81,7.9,7.49,7.54,5.300796,12617000
2010-06-08,7.6,7.83,7.47,7.81,5.490612,16319600
2010-06-09,7.86,8.12,7.84,7.91,5.560913,22418500
2010-06-10,8.03,8.23,7.92,8.23,5.785882,16826700
2010-06-11,8.1,8.25,8.0,8.24,5.792912,7502500
2010-06-14,8.3,8.4,8.1,8.12,5.708549,8943300
2010-06-15,8.24,8.35,8.07,8.31,5.842124,11333000
2010-06-16,8.22,8.55,8.22,8.39,5.898367,14260000
2010-06-17,8.47,8.49,8.18,8.31,5.842124,8704800
2010-06-18,8.32,8.44,8.24,8.37,5.884305,7666100
2010-06-21,8.5,8.56,8.37,8.44,5.933516,9056600
2010-06-22,8.43,8.44,8.16,8.17,5.743701,8858300
2010-06-23,8.22,8.35,8.13,8.22,5.778852,12692100
2010-06-24,8.16,8.29,8.0,8.05,5.659337,8801400
2010-06-25,8.19,8.35,8.08,8.27,5.814003,11397600
2010-06-28,8.27,8.37,8.2,8.22,5.778852,5369000
2010-06-29,8.1,8.19,7.74,7.81,5.490612,18671000
2010-06-30,7.81,8.04,7.67,7.69,5.406249,15115900
2010-07-01,7.62,7.77,7.17,7.37,5.181282,24890700
2010-07-02,7.42,7.54,7.14,7.22,5.075829,9705500
2010-07-06,7.36,7.54,7.31,7.41,5.209404,11233000
2010-07-07,7.46,8.02,7.41,8.0,5.624187,14346600
2010-07-08,8.07,8.2,7.97,8.13,5.71558,12587900
