Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.113949,6.165029,6.062868,6.094303,3.860148,6905603
2010-01-05,6.11002,6.141454,6.019646,6.078585,3.850192,8784322
2010-01-06,6.082515,6.098232,5.972495,6.007859,3.805395,7382791
2010-01-07,5.992141,6.011788,5.897839,5.933202,3.758106,7407223
2010-01-08,5.89391,5.94499,5.842829,5.901768,3.738197,15739298
2010-01-11,5.909627,5.988212,5.874263,5.976424,3.785482,7952107
2010-01-12,5.960707,6.058939,5.933202,5.996071,3.797926,6515964
2010-01-13,6.043222,6.098232,5.984283,6.090373,3.857658,6572717
2010-01-14,6.094303,6.117878,6.070727,6.098232,3.862635,3255310
2010-01-15,6.062868,6.082515,5.937132,6.007859,3.805395,5240155
2010-01-19,6.019646,6.098232,5.980354,6.098232,3.862635,2950164
2010-01-20,6.062868,6.074656,6.0,6.074656,3.847703,3826153
2010-01-21,6.0,6.066798,5.791749,5.842829,3.700862,22677223
2010-01-22,5.8389,5.89391,5.721022,5.72888,3.628688,11887695
2010-01-25,5.779961,5.823183,5.701375,5.764244,3.651086,7603442
2010-01-26,5.768173,5.846758,5.732809,5.819253,3.68593,6195039
2010-01-27,5.744597,5.760314,5.618861,5.6778,3.653065,8991231
2010-01-28,5.689587,5.721022,5.595285,5.62279,3.617672,9851186
2010-01-29,5.654224,5.697446,5.599214,5.599214,3.602505,8842603
2010-02-01,5.626719,5.88998,5.599214,5.834971,3.754187,14476978
2010-02-02,5.827112,5.964637,5.779961,5.960707,3.835086,8762944
2010-02-03,5.88998,5.972495,5.88998,5.937132,3.819918,6164499
2010-02-04,5.89391,5.901768,5.787819,5.787819,3.723851,6140067
2010-02-05,5.779961,5.799607,5.669941,5.768173,3.71121,7216093
2010-02-08,5.752456,5.799607,5.721022,5.72888,3.68593,5735412
2010-02-09,5.779961,5.897839,5.760314,5.819253,3.744076,8917171
2010-02-10,5.831041,5.8389,5.744597,5.78389,3.721324,6094512
2010-02-11,5.736739,5.819253,5.697446,5.811395,3.739019,7384572
2010-02-12,5.768173,5.772102,5.681729,5.752456,3.701099,9643769
2010-02-16,5.819253,5.897839,5.787819,5.897839,3.794637,7927675
2010-02-17,5.925344,5.925344,5.874263,5.882122,3.784526,5236592
2010-02-18,5.862475,5.94499,5.858546,5.89391,3.792109,8357780
2010-02-19,5.870334,5.976424,5.842829,5.956778,3.832559,6267063
2010-02-22,5.992141,6.007859,5.952849,5.976424,3.845198,6529198
2010-02-23,5.972495,5.988212,5.89391,5.909627,3.802222,6139304
2010-02-24,5.909627,5.937132,5.823183,5.897839,3.794637,7452269
2010-02-25,5.823183,5.897839,5.791749,5.88998,3.789579,4593471
2010-02-26,5.905697,5.960707,5.870334,5.901768,3.797167,23137868
2010-03-01,5.929273,5.984283,5.913556,5.960707,3.835086,5208852
2010-03-02,5.976424,6.0,5.8389,5.948919,3.827501,6397621
2010-03-03,5.948919,5.984283,5.917485,5.952849,3.83003,4486072
2010-03-04,5.972495,5.988212,5.89391,5.948919,3.827501,5037319
2010-03-05,5.972495,6.043222,5.94499,6.043222,3.888175,3692541
2010-03-08,6.031434,6.070727,6.027505,6.066798,3.903343,2848619
2010-03-09,6.078585,6.078585,6.019646,6.062868,3.900816,3165471
2010-03-10,6.078585,6.11002,6.043222,6.11002,3.931154,4270510
2010-03-11,6.082515,6.121807,6.043222,6.117878,3.93621,3670654
2010-03-12,6.145383,6.157171,6.062868,6.086444,3.915985,3897922
2010-03-15,6.094303,6.094303,6.039293,6.094303,3.921041,3363218
2010-03-16,6.090373,6.1611,6.070727,6.1611,3.964019,4139952
2010-03-17,6.168959,6.243615,6.153242,6.220039,4.001939,4089815
2010-03-18,6.212181,6.21611,6.153242,6.192534,3.984242,3590232
2010-03-19,6.180747,6.239686,6.11002,6.180747,3.976659,6254847
2010-03-22,6.145383,6.176817,6.117878,6.168959,3.969074,2976632
2010-03-23,6.168959,6.243615,6.141454,6.231827,4.009522,3827935
2010-03-24,6.200393,6.227898,6.157171,6.168959,3.969074,3842187
2010-03-25,6.184676,6.21611,6.133595,6.133595,3.946322,3191685
2010-03-26,6.153242,6.255403,6.149312,6.200393,3.9893,14055272
2010-03-29,6.21611,6.286837,6.196464,6.275049,4.037333,3453565
2010-03-30,6.282908,6.298625,6.259332,6.282908,4.042389,2773541
2010-03-31,6.275049,6.290766,6.208251,6.208251,3.994354,4810814
2010-04-01,6.231827,6.353635,6.231827,6.349705,4.085365,4904215
