Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,61.189999,61.52,60.639999,61.240002,41.913578,6585900
2010-01-05,61.0,62.099998,60.900002,61.98,42.420036,8886000
2010-01-06,61.990002,62.470001,61.23,61.360001,41.995697,9998000
2010-01-07,61.349998,61.380001,60.529999,60.970001,41.728783,10792000
2010-01-08,60.759998,60.82,60.27,60.77,41.5919,8674700
2010-01-11,60.68,60.810001,60.099998,60.700001,41.543995,6461200
2010-01-12,60.52,61.68,60.5,61.549999,42.12574,9081800
2010-01-13,61.41,62.34,61.41,62.049999,42.467941,7380100
2010-01-14,62.02,62.919998,61.759998,62.799999,42.981255,7211600
2010-01-15,62.610001,62.91,61.82,62.290001,42.632191,8361200
2010-01-19,62.23,62.41,61.970001,62.330002,42.659592,5615800
2010-01-20,62.09,62.150002,61.439999,61.950001,42.399517,5606000
2010-01-21,62.009998,62.16,60.740002,60.939999,41.708244,7121500
2010-01-22,60.75,61.240002,60.310001,60.389999,41.331818,7229000
2010-01-25,60.700001,60.700001,60.080002,60.23,41.222317,4903800
2010-01-26,60.099998,60.529999,59.82,60.25,41.236015,5001700
2010-01-27,60.049999,60.389999,59.599998,60.290001,41.263374,6145900
2010-01-28,60.299999,60.5,59.5,59.740002,40.886951,9285900
2010-01-29,59.84,60.360001,59.119999,59.619999,40.804821,8127200
2010-02-01,59.93,60.75,59.52,60.700001,41.543995,7303200
2010-02-02,60.68,61.279999,60.34,61.150002,41.851963,6296700
2010-02-03,60.919998,61.400002,60.560001,61.290001,41.947788,4863000
2010-02-04,60.830002,60.93,59.619999,59.639999,40.818512,6920300
2010-02-05,59.509998,59.790001,58.950001,59.509998,40.72953,7347800
2010-02-08,59.599998,59.66,58.75,58.959999,40.3531,7047700
2010-02-09,59.290001,60.48,59.290001,60.049999,41.09911,7940200
2010-02-10,59.959999,60.669998,59.509998,60.380001,41.324963,10917200
2010-02-11,60.869999,61.700001,60.5,61.189999,41.87936,14391100
2010-02-12,61.060001,61.220001,60.490002,60.919998,41.694557,8566800
2010-02-16,61.029999,61.450001,60.5,61.310001,41.961491,6930800
2010-02-17,61.48,62.200001,61.25,62.110001,42.509026,6703500
2010-02-18,61.970001,62.720001,61.970001,62.529999,42.796459,6942900
2010-02-19,62.32,62.919998,61.98,62.66,42.885437,6416500
2010-02-22,62.689999,62.869999,62.099998,62.41,42.714329,4709500
2010-02-23,62.220001,62.48,61.700001,61.779999,42.283154,5159400
2010-02-24,61.98,62.16,61.580002,62.080002,42.488476,6888100
2010-02-25,61.509998,62.34,61.02,62.299999,42.639042,8074100
