Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.35,19.48,19.15,19.34,16.1947,217100
2010-01-05,19.290001,19.610001,19.24,19.540001,16.362171,754900
2010-01-06,18.549999,19.280001,18.549999,18.91,15.83463,837900
2010-01-07,18.84,19.07,18.5,18.790001,15.734145,331700
2010-01-08,18.700001,18.809999,18.58,18.65,15.616919,392500
2010-01-11,18.700001,18.790001,18.190001,18.51,15.499679,399200
2010-01-12,18.33,18.57,18.27,18.459999,15.457813,414600
2010-01-13,18.530001,19.030001,18.450001,18.940001,15.859752,342800
2010-01-14,18.83,19.120001,18.709999,19.07,15.968607,312400
2010-01-15,19.139999,19.4,18.9,19.27,16.136084,746700
2010-01-19,18.82,19.959999,18.82,19.74,16.529644,810700
2010-01-20,19.6,19.73,19.32,19.49,16.320301,236100
2010-01-21,19.58,19.809999,19.450001,19.5,16.328678,448700
2010-01-22,19.5,19.690001,19.110001,19.219999,16.094213,373900
2010-01-25,19.370001,19.41,18.98,19.110001,16.002102,296500
2010-01-26,19.049999,19.299999,18.9,18.9,15.826257,257200
2010-01-27,18.82,19.0,18.719999,19.0,15.909991,198800
2010-01-28,18.98,19.09,18.549999,18.860001,15.792762,220300
2010-01-29,18.91,19.139999,18.32,18.360001,15.374072,421900
2010-02-01,18.41,18.940001,18.370001,18.9,15.826257,309100
2010-02-02,18.860001,19.09,18.76,18.85,15.784388,285500
2010-02-03,18.719999,19.0,18.5,18.950001,15.868128,275200
2010-02-04,18.860001,18.860001,18.450001,18.469999,15.466188,345200
2010-02-05,18.540001,18.540001,18.17,18.43,15.432694,372400
2010-02-08,18.459999,18.75,18.41,18.58,15.558297,235000
2010-02-09,19.0,20.41,19.0,19.5,16.328678,1122300
2010-02-10,19.52,19.82,19.32,19.57,16.387295,508700
2010-02-11,19.450001,20.190001,19.450001,19.99,16.738989,454600
2010-02-12,19.870001,20.620001,19.74,20.6,17.24979,524000
2010-02-16,20.65,21.23,20.559999,21.129999,17.693586,551200
2010-02-17,21.209999,21.48,20.83,20.99,17.576349,606800
2010-02-18,20.84,20.84,19.950001,20.58,17.233034,783900
2010-02-19,20.469999,20.68,20.200001,20.66,17.300018,541900
2010-02-22,20.65,20.84,20.42,20.709999,17.341894,434700
2010-02-23,20.690001,20.690001,20.26,20.32,17.015314,404200
2010-02-24,20.4,20.469999,20.209999,20.34,17.032064,338000
2010-02-25,20.110001,20.450001,20.110001,20.43,17.107433,333700
2010-02-26,20.379999,20.379999,19.950001,19.98,16.730616,192000
2010-03-01,20.139999,20.459999,19.93,20.24,16.94833,376800
2010-03-02,20.33,20.530001,20.200001,20.5,17.166052,207400
2010-03-03,20.59,21.09,20.549999,20.870001,17.475872,246700
2010-03-04,20.940001,21.0,20.65,20.940001,17.534483,114900
2010-03-05,20.9,21.52,20.74,21.48,18.09903,404600
2010-03-08,21.549999,21.93,21.5,21.549999,18.158016,398000
2010-03-09,21.450001,22.030001,21.450001,21.91,18.461344,642400
2010-03-10,21.879999,22.23,21.879999,22.129999,18.646713,535800
2010-03-11,21.940001,22.200001,21.860001,22.049999,18.579311,183100
2010-03-12,22.209999,22.209999,21.83,22.08,18.604589,236600
2010-03-15,21.940001,22.209999,21.93,22.139999,18.655136,231400
2010-03-16,22.190001,22.82,22.1,22.82,19.228111,252100
2010-03-17,22.790001,22.85,22.629999,22.709999,19.13542,226800
2010-03-18,22.75,22.9,22.610001,22.709999,19.13542,139100
2010-03-19,22.84,23.16,22.68,22.91,19.303946,492300
2010-03-22,22.76,23.4,22.76,23.4,19.716816,311600
2010-03-23,23.440001,23.700001,23.26,23.68,19.95274,261000
2010-03-24,23.540001,23.67,23.200001,23.26,19.598862,169900
2010-03-25,23.299999,23.57,23.059999,23.1,19.464039,360300
2010-03-26,23.059999,23.32,22.870001,22.969999,19.354502,297700
2010-03-29,23.09,23.26,23.0,23.110001,19.472469,166000
2010-03-30,23.209999,23.219999,22.639999,23.059999,19.430334,359300
2010-03-31,22.66,23.299999,22.639999,22.639999,19.076447,216500
2010-04-01,22.700001,22.98,22.290001,22.6,19.042742,229000
2010-04-05,22.610001,23.43,22.559999,23.43,19.742094,265000
2010-04-06,23.35,23.35,23.129999,23.15,19.506174,161900
2010-04-07,23.059999,23.26,22.77,22.84,19.244967,279100
2010-04-08,22.690001,22.950001,22.389999,22.91,19.303946,124000
2010-04-09,22.82,22.870001,22.32,22.76,19.177549,135400
2010-04-12,22.83,22.83,22.5,22.610001,19.05117,170100
2010-04-13,22.629999,22.629999,22.360001,22.57,19.017466,207200
2010-04-14,22.620001,22.969999,22.52,22.969999,19.354502,280300
2010-04-15,22.9,23.66,22.9,23.629999,19.910618,459400
2010-04-16,23.629999,23.969999,23.5,23.889999,20.12969,329900
2010-04-19,24.719999,25.0,24.209999,24.93,21.005993,709300
2010-04-20,25.0,25.26,24.690001,24.91,20.989145,487000
2010-04-21,24.860001,25.0,24.379999,24.42,20.576267,763200
2010-04-22,24.59,25.459999,24.27,25.32,21.334616,947700
2010-04-23,25.440001,25.870001,25.02,25.52,21.503128,827700
