Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,49.380001,51.150002,49.380001,50.98,42.405052,1524100
2010-01-05,51.060001,51.779999,50.790001,51.0,42.421696,1666100
2010-01-06,51.0,52.369999,50.560001,51.889999,43.161983,2130300
2010-01-07,51.389999,52.689999,50.290001,52.349998,43.544624,1491400
2010-01-08,51.599998,53.349998,51.380001,53.25,44.293247,1374800
2010-01-11,53.700001,54.029999,51.75,52.279999,43.486393,1214400
2010-01-12,51.290001,51.990002,50.759998,51.139999,42.538151,1345700
2010-01-13,51.459999,52.0,49.93,51.900002,43.170322,1302700
2010-01-14,51.689999,52.700001,51.509998,52.529999,43.694344,794000
2010-01-15,52.279999,52.68,50.189999,50.529999,42.030758,2090300
2010-01-19,51.900002,52.189999,48.93,50.259998,41.806171,3115200
2010-01-20,49.259998,49.77,48.560001,49.529999,41.19894,1493000
2010-01-21,49.52,50.400002,47.720001,48.130001,40.034435,1556100
2010-01-22,47.82,48.220001,46.439999,46.529999,38.703564,1840800
2010-01-25,47.139999,48.119999,46.869999,46.919998,39.027966,1276900
2010-01-26,46.439999,47.52,45.799999,45.939999,38.212795,1624500
2010-01-27,46.0,46.240002,44.5,45.400002,37.763638,1968900
2010-01-28,45.709999,46.09,43.880001,45.23,37.622215,1357000
2010-01-29,45.779999,46.599998,43.610001,43.98,36.58247,1933300
2010-02-01,44.57,45.93,44.549999,45.84,38.129623,1319100
2010-02-02,46.09,47.07,45.389999,46.779999,38.911507,1666300
2010-02-03,46.650002,47.540001,45.580002,45.869999,38.154564,1989900
2010-02-04,45.689999,45.689999,44.0,44.119999,36.698933,2793700
2010-02-05,44.110001,44.16,41.880001,43.619999,36.283031,2851800
2010-02-08,43.529999,44.669998,43.009998,44.27,36.823704,2495700
2010-02-09,45.279999,46.849998,44.860001,46.310001,38.520573,2468800
2010-02-10,46.200001,46.200001,44.580002,45.369999,37.738659,3295300
2010-02-11,45.299999,47.450001,45.110001,47.330002,39.368996,1634600
2010-02-12,46.43,47.360001,45.720001,47.099998,39.177689,1603800
2010-02-16,47.790001,48.889999,47.790001,48.799999,40.591732,1010700
2010-02-17,48.810001,49.240002,48.049999,48.73,40.533512,918900
2010-02-18,48.610001,49.310001,48.32,49.259998,40.974361,1306900
2010-02-19,47.84,49.639999,47.84,49.490002,41.165684,1660300
2010-02-22,49.689999,49.73,47.889999,48.02,39.942936,1979800
2010-02-23,47.91,48.25,46.07,46.18,38.412437,2342300
2010-02-24,46.049999,47.02,45.82,46.299999,38.512253,1868400
2010-02-25,45.560001,46.830002,44.57,46.669998,38.820011,1877600
2010-02-26,45.93,46.790001,45.439999,46.650002,38.803387,1729200
2010-03-01,46.93,47.59,46.740002,47.150002,39.21928,1437900
2010-03-02,47.240002,48.369999,47.240002,47.84,39.793217,1541200
2010-03-03,48.009998,48.950001,47.889999,48.0,39.926296,1287400
2010-03-04,48.009998,48.509998,47.380001,47.689999,39.668453,1290100
2010-03-05,48.290001,49.150002,48.110001,48.98,40.741467,1329300
2010-03-08,48.939999,49.48,48.450001,48.540001,40.375477,1282100
2010-03-09,48.310001,49.799999,48.07,49.43,41.115776,1804800
2010-03-10,49.220001,51.16,49.040001,50.970001,42.396748,2757700
