Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.17,18.5,18.040001,18.290001,13.280534,3691600
2010-01-05,18.360001,18.5,18.120001,18.18,13.200656,3422800
2010-01-06,18.209999,19.610001,18.209999,19.5,14.159121,8994300
2010-01-07,19.370001,19.48,19.110001,19.370001,14.064726,7727800
2010-01-08,19.73,20.379999,19.559999,20.190001,14.660139,12040500
2010-01-11,20.469999,20.469999,19.450001,19.559999,14.202689,5665900
2010-01-12,19.17,19.360001,18.73,19.08,13.854156,5228500
2010-01-13,19.32,19.389999,18.24,18.780001,13.636326,7847200
2010-01-14,18.74,18.91,18.09,18.43,13.382184,7966800
2010-01-15,18.42,18.5,17.809999,18.01,13.07722,5165300
2010-01-19,18.26,18.35,17.860001,17.98,13.055434,4941900
2010-01-20,17.82,17.9,17.25,17.469999,12.685122,5556600
2010-01-21,17.42,17.58,16.629999,16.700001,12.126023,8428700
2010-01-22,16.41,17.23,16.25,16.4,11.908184,8257000
2010-01-25,16.780001,17.049999,16.17,16.299999,11.835571,5784700
2010-01-26,16.030001,16.639999,15.84,16.049999,11.654048,9950300
2010-01-27,15.99,16.459999,15.6,16.02,11.632267,6155300
2010-01-28,16.09,16.25,15.29,15.59,11.320039,7277500
2010-01-29,15.75,16.15,15.06,15.18,11.022332,8745100
2010-02-01,15.38,16.09,15.37,16.08,11.675829,4772400
2010-02-02,16.34,16.469999,15.83,16.360001,11.879143,5272900
2010-02-03,16.190001,16.450001,15.81,15.92,11.559653,5763900
2010-02-04,15.08,15.46,14.71,14.79,10.739149,10458100
2010-02-05,14.94,15.06,14.31,14.99,10.884374,10364000
2010-02-08,14.93,15.2,14.45,14.85,10.782718,11663600
2010-02-09,15.35,15.77,15.28,15.43,11.203865,8028600
2010-02-10,15.38,15.48,14.9,15.06,10.935202,7061300
2010-02-11,15.08,15.85,15.05,15.72,11.41443,5421100
2010-02-12,15.4,16.190001,15.25,15.96,11.588699,6077400
2010-02-16,16.35,16.75,16.15,16.4,11.908184,7216400
2010-02-17,16.459999,16.5,16.01,16.219999,11.777487,6495900
2010-02-18,16.17,16.73,16.07,16.67,12.104235,6907800
2010-02-19,16.59,16.959999,16.5,16.73,12.147799,6378100
2010-02-22,16.879999,16.959999,16.620001,16.799999,12.198629,4667800
2010-02-23,16.6,16.700001,15.91,16.09,11.683092,6695500
2010-02-24,16.18,16.42,15.99,16.200001,11.762965,5120000
2010-02-25,15.69,16.16,15.52,16.1,11.690351,6480500
2010-02-26,16.1,16.360001,15.84,16.33,11.857356,5077900
2010-03-01,16.4,16.780001,16.25,16.68,12.111494,4464200
2010-03-02,16.75,17.0,16.67,16.82,12.213152,4156000
2010-03-03,16.91,17.459999,16.91,17.030001,12.365633,5324600
2010-03-04,17.08,17.440001,16.92,17.18,12.474552,5564900
2010-03-05,17.42,17.67,17.35,17.530001,12.72869,4119100
2010-03-08,18.09,18.190001,17.73,17.959999,13.040913,6215800
2010-03-09,17.799999,18.08,17.5,17.73,12.873911,7481700
2010-03-10,17.73,18.030001,17.559999,17.879999,12.982824,4007900
2010-03-11,17.52,17.860001,17.33,17.77,12.902954,4286700
2010-03-12,17.93,18.24,17.76,17.93,13.019132,5152800
2010-03-15,17.83,17.889999,17.559999,17.809999,12.931996,3152700
2010-03-16,17.99,18.379999,17.9,18.209999,13.22244,6206000
2010-03-17,18.32,18.389999,17.969999,17.98,13.055434,5428400
2010-03-18,17.940001,18.129999,17.6,17.639999,12.80856,3747000
2010-03-19,17.65,17.780001,17.25,17.389999,12.627033,4804200
2010-03-22,17.18,17.629999,16.889999,17.540001,12.735946,3610400
2010-03-23,17.76,18.0,17.389999,18.0,13.069957,2752300
2010-03-24,17.85,17.889999,17.620001,17.67,12.830347,3224700
2010-03-25,17.93,18.0,17.110001,17.200001,12.48907,3799700
2010-03-26,17.23,17.719999,17.190001,17.33,12.583465,2961900
2010-03-29,17.43,17.940001,17.389999,17.700001,12.907991,3078300
2010-03-30,17.66,17.83,17.200001,17.469999,12.740257,2908800
2010-03-31,17.360001,17.610001,17.27,17.469999,12.740257,3885700
2010-04-01,17.66,17.82,17.469999,17.709999,12.915283,5767600
2010-04-05,17.889999,18.43,17.879999,18.43,13.440352,4364100
2010-04-06,18.4,18.940001,18.360001,18.66,13.608086,4573400
2010-04-07,18.67,18.719999,17.780001,18.049999,13.163234,6825000
2010-04-08,17.85,18.0,17.48,17.959999,13.097593,3729900
2010-04-09,18.02,18.15,17.690001,17.91,13.061132,3107700
2010-04-12,17.98,18.120001,17.860001,17.99,13.119474,3576500
2010-04-13,17.879999,18.139999,17.780001,17.84,13.010089,2084300
2010-04-14,18.110001,18.450001,18.059999,18.41,13.425766,4063000
2010-04-15,18.299999,18.41,17.91,18.0,13.126768,2942200
2010-04-16,17.85,18.030001,17.35,17.52,12.776722,5243400
2010-04-19,17.379999,17.67,17.01,17.52,12.776722,7478100
2010-04-20,18.1,18.200001,17.0,17.040001,12.426673,13993100
2010-04-21,17.17,17.17,16.389999,16.620001,12.120384,11781800
2010-04-22,16.459999,16.719999,16.02,16.68,12.164139,7960500
2010-04-23,16.709999,16.77,16.52,16.74,12.207893,5225700
2010-04-26,16.85,17.120001,16.6,16.719999,12.193313,7026700
2010-04-27,16.530001,16.6,15.89,15.92,11.609898,8384300
2010-04-28,16.1,16.35,15.99,16.08,11.726579,6257500
2010-04-29,16.23,16.27,15.86,16.139999,11.770336,6124700
2010-04-30,16.24,16.26,15.62,15.72,11.464046,4852100
2010-05-03,15.93,16.030001,15.38,15.73,11.471338,4261700
2010-05-04,15.44,15.49,14.88,15.01,10.946266,9079100
2010-05-05,14.69,15.83,14.5,15.47,11.281725,8499600
2010-05-06,15.37,15.94,14.25,14.98,10.924387,8793400
2010-05-07,14.95,15.35,14.33,14.87,10.84417,8993600
2010-05-10,15.75,15.83,15.49,15.72,11.464046,6113200
2010-05-11,15.47,15.68,15.09,15.09,11.004608,6907200
2010-05-12,15.26,15.42,15.11,15.35,11.194219,7126700
2010-05-13,15.64,16.43,15.39,15.88,11.580727,10444300
2010-05-14,15.57,15.63,15.09,15.24,11.113996,8365500
2010-05-17,15.39,15.4,14.45,14.86,10.836878,8789000
2010-05-18,15.12,15.3,14.42,14.5,10.574344,6649200
2010-05-19,14.33,14.6,14.05,14.32,10.443075,9243200
2010-05-20,13.78,14.02,13.5,13.57,9.896127,6802900
2010-05-21,13.31,14.06,13.3,14.01,10.217003,6865700
2010-05-24,14.0,14.42,13.83,13.85,10.100323,4884900
2010-05-25,13.3,14.13,13.12,14.11,10.289929,7659600
2010-05-26,14.44,14.64,13.88,13.96,10.180537,6267600
2010-05-27,14.39,14.95,14.29,14.94,10.895218,4899700
2010-05-28,14.92,15.03,14.49,14.67,10.698318,4237200
2010-06-01,14.45,14.78,13.85,13.86,10.107611,4914300
2010-06-02,14.09,14.8,14.0,14.72,10.73478,5496300
2010-06-03,14.82,14.94,14.5,14.83,10.814998,8171700
2010-06-04,14.33,14.76,13.98,14.21,10.362854,9790600
2010-06-07,14.25,14.44,13.62,14.13,10.304511,11155500
2010-06-08,14.16,14.38,13.52,13.83,10.085733,7753600
2010-06-09,14.07,14.34,13.72,13.76,10.034688,4667300
2010-06-10,14.12,14.2,13.93,14.18,10.340976,6457700
2010-06-11,13.93,14.31,13.88,14.28,10.413905,4013700
2010-06-14,14.51,14.7,14.34,14.38,10.486831,2824700
2010-06-15,14.44,14.82,14.11,14.73,10.742075,6005600
2010-06-16,14.55,14.6,14.15,14.21,10.362854,5792300
2010-06-17,13.94,14.13,13.68,13.87,10.114902,6834200
2010-06-18,13.81,14.02,13.73,13.97,10.18783,4192200
2010-06-21,14.45,14.64,13.99,14.11,10.289929,7806700
2010-06-22,14.1,14.33,13.78,13.84,10.093029,3811300
2010-06-23,13.87,14.25,13.48,14.11,10.289929,6051800
2010-06-24,14.03,14.05,13.78,13.86,10.107611,5774100
2010-06-25,13.88,14.14,13.68,14.08,10.268051,3346500
2010-06-28,14.0,14.11,13.75,13.91,10.198399,3836000
2010-06-29,13.6,13.66,13.17,13.24,9.707176,6872500
2010-06-30,13.26,13.6,13.12,13.19,9.670517,4144700
2010-07-01,13.26,13.43,12.89,13.14,9.63386,6199100
2010-07-02,13.19,13.35,12.97,13.03,9.553208,4581100
2010-07-06,13.32,13.83,13.32,13.47,9.875806,5814700
2010-07-07,13.5,14.06,13.4,14.06,10.308377,4991300
2010-07-08,14.17,14.51,13.78,14.48,10.616306,5678200
2010-07-09,14.4,14.92,14.36,14.8,10.85092,4148800
2010-07-12,14.74,14.74,14.33,14.54,10.660295,4792800
2010-07-13,14.8,15.0,14.69,14.84,10.880249,4596700
2010-07-14,14.79,14.98,14.56,14.7,10.777598,3709400
2010-07-15,14.65,14.7,14.37,14.65,10.74094,2551900
2010-07-16,14.57,14.7,14.13,14.21,10.418353,2244500
2010-07-19,14.22,14.4,13.91,14.0,10.264385,4462200
2010-07-20,13.74,14.35,13.7,14.27,10.46234,9654800
2010-07-21,14.4,14.73,14.04,14.11,10.345036,8474800
2010-07-22,14.31,14.68,14.28,14.62,10.71895,4556100
2010-07-23,14.53,14.99,14.48,14.87,10.902241,7915700
2010-07-26,14.87,15.23,14.71,14.99,10.990223,6401400
2010-07-27,15.09,15.1,14.25,14.28,10.469672,6222900
2010-07-28,14.29,14.48,14.17,14.33,10.506331,3582500
2010-07-29,14.43,14.72,14.12,14.38,10.54299,3098300
2010-07-30,14.15,14.43,14.07,14.32,10.499,2841100
2010-08-02,14.57,14.89,14.55,14.72,10.792266,2703400
2010-08-03,14.63,14.89,14.54,14.57,10.682289,2273100
2010-08-04,14.62,15.09,14.62,15.06,11.041547,3042500
2010-08-05,14.89,15.06,14.86,14.94,10.953565,2116300
2010-08-06,14.77,15.22,14.73,14.99,10.990223,2556600
2010-08-09,15.08,15.19,14.82,15.06,11.041547,2014200
2010-08-10,14.8,14.9,14.47,14.75,10.814265,2375900
2010-08-11,14.37,14.39,13.81,13.84,10.147079,3129300
2010-08-12,13.62,13.97,13.5,13.8,10.117748,2644800
2010-08-13,13.91,13.92,13.65,13.69,10.0371,1711600
2010-08-16,13.66,14.09,13.64,13.93,10.213066,2160100
2010-08-17,14.17,14.59,14.02,14.34,10.513662,2862600
2010-08-18,14.34,14.82,14.2,14.62,10.71895,3135200
2010-08-19,14.5,14.89,14.22,14.45,10.594309,3259400
2010-08-20,14.25,14.39,14.13,14.34,10.513662,2690900
2010-08-23,14.44,14.45,13.97,13.97,10.242392,2089100
2010-08-24,13.72,13.88,13.56,13.58,9.956452,2440800
2010-08-25,13.47,13.81,13.2,13.77,10.095757,3176200
2010-08-26,13.8,13.95,13.3,13.34,9.780493,2531500
2010-08-27,13.48,13.86,13.28,13.83,10.139743,2398600
2010-08-30,13.79,13.88,13.51,13.58,9.956452,1994400
2010-08-31,13.55,13.94,13.52,13.67,10.02244,2218700
2010-09-01,13.97,14.4,13.87,14.36,10.528325,2993200
2010-09-02,14.37,14.52,14.08,14.52,10.645634,1609200
2010-09-03,14.75,14.91,14.62,14.77,10.828928,2236400
2010-09-07,14.76,14.95,14.57,14.64,10.733614,3469200
2010-09-08,14.74,14.94,14.66,14.69,10.770272,2197500
2010-09-09,14.9,14.95,14.29,14.47,10.608972,3296200
2010-09-10,14.54,14.58,14.2,14.27,10.46234,2838600
2010-09-13,14.59,14.68,14.36,14.53,10.652965,3358000
2010-09-14,14.29,14.77,14.21,14.59,10.696953,5446100
2010-09-15,14.44,14.72,14.3,14.71,10.784936,6308800
2010-09-16,14.65,15.2,14.59,15.14,11.100198,6528600
2010-09-17,15.48,15.59,14.91,15.01,11.004883,5426300
2010-09-20,15.0,15.14,14.77,15.1,11.070871,2359000
2010-09-21,14.89,15.0,14.36,14.6,10.704288,5167000
2010-09-22,14.64,14.86,14.36,14.45,10.594309,2876900
2010-09-23,14.2,14.44,14.09,14.33,10.506331,3209200
2010-09-24,14.55,14.69,14.41,14.48,10.616306,3547800
2010-09-27,14.46,14.55,14.28,14.35,10.520993,3686000
2010-09-28,14.33,14.4,14.02,14.15,10.428868,6124700
2010-09-29,14.04,14.24,13.93,14.13,10.414126,6055700
2010-09-30,14.29,14.3,14.0,14.11,10.399387,3919000
2010-10-01,14.32,14.73,14.26,14.64,10.790006,6715200
2010-10-04,14.49,14.52,14.23,14.29,10.532047,5566900
2010-10-05,14.55,14.64,14.3,14.33,10.56153,7008600
2010-10-06,14.31,14.6,14.23,14.36,10.583641,4915900
2010-10-07,14.47,14.51,14.14,14.33,10.56153,2721100
2010-10-08,14.37,14.81,14.31,14.65,10.797377,3165800
2010-10-11,14.65,14.88,14.52,14.61,10.767899,2474800
2010-10-12,14.47,14.93,14.35,14.78,10.89319,4897400
2010-10-13,14.91,15.01,14.72,14.76,10.878451,2841800
2010-10-14,14.76,14.8,14.35,14.43,10.635231,4045800
