Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.264999,17.434999,17.067499,17.17,14.86683,454400
2010-01-05,17.122499,17.247499,16.897499,17.022499,14.739113,282000
2010-01-06,17.1,17.115,16.9475,16.977501,14.700153,402800
2010-01-07,17.0075,17.202499,16.8925,17.0175,14.73478,346400
2010-01-08,16.969999,17.075001,16.797501,16.985001,14.706639,455200
2010-01-11,17.07,17.1775,16.799999,16.875,14.611398,501200
2010-01-12,16.8025,16.92,16.762501,16.85,14.58975,223200
2010-01-13,16.9275,17.059999,16.815001,17.049999,14.762925,202800
2010-01-14,16.995001,17.105,16.975,17.0625,14.773751,214800
2010-01-15,17.01,17.0975,16.76,16.764999,14.516151,248400
2010-01-19,16.754999,16.995001,16.754999,16.875,14.611398,375600
2010-01-20,16.715,16.834999,16.514999,16.7075,14.46637,529200
2010-01-21,16.674999,16.695,16.387501,16.407499,14.206608,857600
2010-01-22,16.445,16.540001,16.2675,16.3575,14.163318,213200
2010-01-25,16.434999,16.434999,16.1425,16.235001,14.057247,173600
2010-01-26,16.184999,16.372499,16.059999,16.33,14.139504,224800
2010-01-27,16.2575,16.42,16.205,16.407499,14.206608,218000
2010-01-28,16.370001,16.610001,16.290001,16.4625,14.254229,370000
2010-01-29,16.4625,16.7325,16.405001,16.405001,14.204443,430000
2010-02-01,16.379999,16.5725,16.262501,16.545,14.325666,492400
2010-02-02,16.0,16.452499,15.76,16.422501,14.219599,1429600
2010-02-03,15.8025,16.0875,15.775,15.9975,13.851609,1211200
2010-02-04,15.9025,15.95,15.6625,15.7075,13.600508,746400
2010-02-05,15.7475,15.82,15.0825,15.37,13.308278,1112400
2010-02-08,15.415,15.715,15.1575,15.2975,13.245503,595200
2010-02-09,15.4375,15.54,15.2375,15.3,13.247668,719200
2010-02-10,15.24,15.24,15.0,15.1225,13.149844,648800
2010-02-11,15.14,15.18,15.0075,15.1275,13.15419,575200
2010-02-12,15.0125,15.455,15.0125,15.4475,13.432449,1386800
2010-02-16,15.4825,15.4825,15.31,15.375,13.369407,517600
2010-02-17,15.38,15.55,15.3075,15.515,13.491151,806000
2010-02-18,15.56,15.655,15.48,15.62,13.582449,450000
2010-02-19,15.63,15.77,15.545,15.765,13.708529,470400
2010-02-22,15.75,15.7975,15.59,15.715,13.665056,1449200
2010-02-23,15.645,15.8225,15.515,15.77,13.712884,692800
2010-02-24,15.7575,15.9425,15.7575,15.9275,13.849838,322400
2010-02-25,15.8025,15.955,15.775,15.8775,13.806359,483600
2010-02-26,15.9225,15.9925,15.8025,15.98,13.895485,461200
2010-03-01,15.9725,16.282499,15.93,16.1875,14.075919,364800
2010-03-02,16.17,16.434999,16.17,16.3925,14.254176,446000
2010-03-03,16.450001,16.469999,16.290001,16.372499,14.23679,416400
2010-03-04,16.375,16.385,16.297501,16.362499,14.228089,381600
2010-03-05,16.372499,16.5,16.237499,16.422501,14.280269,733600
2010-03-08,16.372499,16.610001,16.2125,16.2775,14.154182,577600
2010-03-09,16.280001,16.3025,16.15,16.2575,14.136789,398400
2010-03-10,16.215,16.48,16.157499,16.280001,14.156352,718400
2010-03-11,16.190001,16.405001,16.075001,16.395,14.256352,233600
2010-03-12,16.465,16.465,16.209999,16.344999,14.212873,212400
2010-03-15,16.365,16.5875,16.365,16.442499,14.297657,329200
2010-03-16,16.42,16.504999,16.352501,16.467501,14.319398,169200
2010-03-17,16.5275,16.547501,16.365,16.475,14.325915,168400
2010-03-18,16.415001,16.532499,16.415001,16.4925,14.341132,169600
2010-03-19,16.5,16.557501,16.35,16.3925,14.254176,557200
2010-03-22,16.3125,16.622499,16.275,16.5525,14.393311,248800
2010-03-23,16.592501,16.752501,16.275,16.7325,14.54983,320400
2010-03-24,16.7125,16.7125,16.51,16.525,14.369393,183600
2010-03-25,16.6325,16.6325,16.327499,16.49,14.338959,492400
2010-03-26,16.4725,16.545,16.184999,16.3475,14.215049,624800
2010-03-29,16.334999,16.385,16.280001,16.33,14.19983,410000
2010-03-30,16.385,16.395,16.1525,16.2225,14.106355,386400
2010-03-31,16.157499,16.237499,15.865,15.895,13.821576,762400
2010-04-01,15.9125,16.045,15.815,15.9125,13.836792,307200
2010-04-05,15.89,15.9075,15.7775,15.825,13.76071,651600
2010-04-06,15.75,15.8525,15.75,15.8,13.738969,335200
2010-04-07,15.75,15.8125,15.6825,15.775,13.717233,948800
2010-04-08,15.7925,15.7925,15.6475,15.705,13.65636,352000
2010-04-09,15.685,15.6875,15.5375,15.655,13.612879,407600
2010-04-12,15.6325,15.655,15.47,15.5125,13.48897,556400
2010-04-13,15.4625,15.74,15.395,15.6775,13.632447,1740000
2010-04-14,15.7625,15.9125,15.58,15.7525,13.697665,1210000
2010-04-15,15.7875,16.0075,15.7875,15.9125,13.836792,1090400
2010-04-16,15.8875,15.9825,15.875,15.9325,13.854182,250800
2010-04-19,15.9,16.040001,15.7275,16.0175,13.928092,459600
2010-04-20,16.0625,16.280001,15.9175,16.25,14.130264,880400
2010-04-21,16.24,16.375,16.195,16.342501,14.210703,543600
2010-04-22,16.23,16.32,16.09,16.3125,14.184614,340800
2010-04-23,16.290001,16.3825,16.25,16.365,14.230266,260400
2010-04-26,16.4025,16.48,16.254999,16.405001,14.265047,300400
2010-04-27,16.325001,16.530001,16.1075,16.125,14.021577,599600
2010-04-28,16.022499,16.217501,15.8775,16.202499,14.088964,606800
2010-04-29,16.2675,16.532499,16.105,16.487499,14.336785,430000
2010-04-30,16.5425,16.9125,16.495001,16.5625,14.402005,564800
2010-05-03,16.629999,16.665001,16.532499,16.6,14.434608,391200
2010-05-04,16.049999,16.282499,15.845,16.165001,14.056356,1493600
2010-05-05,16.002501,16.129999,15.74,15.7525,13.697665,886800
2010-05-06,15.71,15.735,15.1175,15.5075,13.484622,1276000
2010-05-07,15.465,15.525,15.11,15.4475,13.432449,1135600
2010-05-10,15.8,15.94,15.6775,15.84,13.77375,712800
2010-05-11,15.7875,15.9725,15.635,15.8925,13.819402,546400
2010-05-12,15.9175,15.95,15.645,15.8775,13.863057,471200
2010-05-13,15.81,15.89,15.69,15.75,13.751737,258400
2010-05-14,15.69,15.69,15.375,15.49,13.524721,406400
2010-05-17,15.58,15.6775,15.2075,15.6,13.620765,341600
2010-05-18,15.6775,15.7675,15.2725,15.33,13.385023,422800
2010-05-19,15.2625,15.4975,15.1975,15.3875,13.435226,372400
2010-05-20,15.1725,15.315,14.9975,15.145,13.223496,1131200
2010-05-21,14.9925,15.155,14.9675,15.0875,13.173288,527200
2010-05-24,15.0975,15.255,14.995,15.0375,13.12963,312000
2010-05-25,14.815,15.0,14.51,14.9575,13.059783,588800
2010-05-26,15.0475,15.395,14.87,15.1175,13.19948,684800
2010-05-27,15.3725,15.525,15.1375,15.2,13.271513,532800
2010-05-28,15.2625,15.2625,14.84,15.1375,13.216942,588400
2010-06-01,15.105,15.355,14.9675,15.0125,13.107804,556400
2010-06-02,15.0325,15.235,14.965,15.235,13.302073,432400
2010-06-03,15.2975,15.435,15.2175,15.345,13.398122,280400
2010-06-04,15.225,15.3125,14.9075,14.9625,13.064146,276000
2010-06-07,15.0275,15.12,14.735,14.7375,12.867697,329600
2010-06-08,14.7525,14.84,14.4175,14.5,12.660325,596800
2010-06-09,14.5275,14.6175,14.275,14.275,12.463873,1258400
2010-06-10,14.4025,14.6775,14.3725,14.67,12.808757,632400
2010-06-11,14.5375,14.9525,14.5375,14.85,12.965923,441600
2010-06-14,14.9075,15.0825,14.8675,14.89,13.000845,376000
2010-06-15,14.9125,15.1,14.8775,15.085,13.171107,384000
2010-06-16,15.0625,15.22,15.0625,15.095,13.179837,210800
2010-06-17,15.0625,15.2475,15.0025,15.0825,13.168922,148000
2010-06-18,15.0775,15.2975,15.0275,15.0575,13.147093,344400
2010-06-21,15.21,15.3525,14.8675,14.9025,13.011762,334000
2010-06-22,14.885,15.1325,14.715,14.725,12.856783,397600
2010-06-23,14.7525,14.7725,14.5075,14.62,12.765099,372800
2010-06-24,14.65,14.7775,14.4575,14.4975,12.658146,363200
2010-06-25,14.495,14.9,14.495,14.83,12.948457,927200
2010-06-28,14.78,15.0825,14.6275,14.92,13.027038,615200
2010-06-29,14.76,14.8925,14.5025,14.545,12.699616,640400
2010-06-30,14.5025,14.6025,14.34,14.3625,12.540273,494400
2010-07-01,14.3825,14.3825,13.9075,14.1,12.311076,894800
2010-07-02,14.15,14.3025,13.9725,14.14,12.346003,242000
2010-07-06,14.2575,14.4625,14.18,14.2925,12.479154,532000
